ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
A,CY2024Q4,Unknown,SP500,0.864972,0.944005,0,0.189173,0.010466,0,0.157038
AAPL,CY2024Q4,Unknown,SP500,2.32761,0.944005,1,0.292277,0.042233,0,0.157038
ABBV,CY2024Q4,Unknown,SP500,-1.839322,0.944005,0,-0.001457,0.10941,0,0.157038
ACN,CY2024Q4,Unknown,SP500,0.008937,0.944005,0,0.12883,0.026184,0,0.157038
ADI,CY2024Q4,Unknown,SP500,0.470557,0.944005,0,0.16137,0.00818,0,0.157038
ADP,CY2024Q4,Unknown,SP500,0.887606,0.944005,0,0.190769,0.007038,0,0.157038
AIG,CY2024Q4,Unknown,SP500,-0.043664,0.944005,0,0.125122,0.057132,0,0.157038
ALL,CY2024Q4,Unknown,SP500,,0.944005,0,,,0,0.157038
AMAT,CY2024Q4,Unknown,SP500,0.527217,0.944005,0,0.165364,0.086185,0,0.157038
AMCR,CY2024Q4,Unknown,SP500,-1.105193,0.944005,0,0.050293,0.006671,0,0.157038
APD,CY2024Q4,Unknown,SP500,1.166618,0.944005,1,0.210437,0.022986,0,0.157038
ATO,CY2024Q4,Unknown,SP500,2.427523,0.944005,1,0.29932,0.062852,0,0.157038
AVGO,CY2024Q4,Unknown,SP500,3.415059,0.944005,1,0.368933,0.512369,1,0.157038
AZO,CY2024Q4,Unknown,SP500,0.054041,0.944005,0,0.132009,0.021946,0,0.157038
BALL,CY2024Q4,Unknown,SP500,-1.966428,0.944005,0,-0.010417,0.074985,0,0.157038
BAX,CY2024Q4,Unknown,SP500,-4.456971,0.944005,0,-0.185979,0.23785,1,0.157038
BDX,CY2024Q4,Unknown,SP500,-0.986925,0.944005,0,0.05863,0.038965,0,0.157038
BEN,CY2024Q4,Unknown,SP500,-0.785565,0.944005,0,0.072824,0.009135,0,0.157038
BF.B,CY2024Q4,Unknown,SP500,1.882065,0.944005,1,0.26087,0.025253,0,0.157038
BR,CY2024Q4,Unknown,SP500,-0.550924,0.944005,0,0.089364,0.033145,0,0.157038
CAG,CY2024Q4,Unknown,SP500,-0.553229,0.944005,0,0.089202,0.077882,0,0.157038
CAH,CY2024Q4,Unknown,SP500,-1.715977,0.944005,0,0.007238,0.00072,0,0.157038
CARR,CY2024Q4,Unknown,SP500,,0.944005,0,,,0,0.157038
CAT,CY2024Q4,Unknown,SP500,,0.944005,0,,,0,0.157038
CIEN,CY2024Q4,Unknown,SP500,-1.223157,0.944005,0,0.041978,0.027116,0,0.157038
CLX,CY2024Q4,Unknown,SP500,-0.194743,0.944005,0,0.114472,0.058286,0,0.157038
COHR,CY2024Q4,Unknown,SP500,-0.80042,0.944005,0,0.071777,0.052489,0,0.157038
COO,CY2024Q4,Unknown,SP500,-0.289792,0.944005,0,0.107772,0.003086,0,0.157038
COR,CY2024Q4,Unknown,SP500,-1.733526,0.944005,0,0.006001,0.000505,0,0.157038
COST,CY2024Q4,Unknown,SP500,-1.408259,0.944005,0,0.02893,0.000202,0,0.157038
CPB,CY2024Q4,Unknown,SP500,-0.904617,0.944005,0,0.064432,0.014212,0,0.157038
CPRT,CY2024Q4,Unknown,SP500,2.901911,0.944005,1,0.33276,0.017154,0,0.157038
CSCO,CY2024Q4,Unknown,SP500,0.643201,0.944005,0,0.17354,0.022327,0,0.157038
CTAS,CY2024Q4,Unknown,SP500,0.661973,0.944005,0,0.174863,0.005792,0,0.157038
DD,CY2024Q4,Unknown,SP500,-2.801352,0.944005,0,-0.069272,0.334149,1,0.157038
DE,CY2024Q4,Unknown,SP500,-0.3697,0.944005,0,0.102139,0.029704,0,0.157038
DECK,CY2024Q4,Unknown,SP500,1.729809,0.944005,1,0.250137,0.065545,0,0.157038
DELL,CY2024Q4,Unknown,SP500,-0.909906,0.944005,0,0.064059,0.015836,0,0.157038
DHI,CY2024Q4,Unknown,SP500,-0.244079,0.944005,0,0.110994,0.024868,0,0.157038
DIS,CY2024Q4,Unknown,SP500,-0.351208,0.944005,0,0.103443,0.009751,0,0.157038
DLTR,CY2024Q4,Unknown,SP500,-7.985442,0.944005,0,-0.739644,0.793355,1,0.157038
DRI,CY2024Q4,Unknown,SP500,-0.763289,0.944005,0,0.074394,0.000687,0,0.157038
EA,CY2024Q4,Unknown,SP500,0.38874,0.944005,0,0.155603,0.010418,0,0.157038
ECL,CY2024Q4,Unknown,SP500,,0.944005,0,,,0,0.157038
EL,CY2024Q4,Unknown,SP500,-3.909015,0.944005,0,-0.147353,0.100938,0,0.157038
EMR,CY2024Q4,Unknown,SP500,0.169097,0.944005,0,0.14012,0.075511,0,0.157038
EW,CY2024Q4,Unknown,SP500,2.132162,0.944005,1,0.278499,1.989595,1,0.157038
FDS,CY2024Q4,Unknown,SP500,1.921088,0.944005,1,0.26362,0.022094,0,0.157038
FDX,CY2024Q4,Unknown,SP500,-1.340124,0.944005,0,0.033732,0.003063,0,0.157038
FFIV,CY2024Q4,Unknown,SP500,1.255616,0.944005,1,0.21671,0.009516,0,0.157038
FICO,CY2024Q4,Unknown,SP500,3.114237,0.944005,1,0.347727,0.066477,0,0.157038
FIS,CY2024Q4,Unknown,SP500,-0.284876,0.944005,0,0.108119,0.020959,0,0.157038
FOX,CY2024Q4,Unknown,SP500,-0.734724,0.944005,0,0.076408,0.157038,0,0.157038
FOXA,CY2024Q4,Unknown,SP500,-0.734724,0.944005,0,0.076408,0.157038,0,0.157038
FTV,CY2024Q4,Unknown,SP500,,0.944005,0,,,0,0.157038
GE,CY2024Q4,Unknown,SP500,0.90828,0.944005,0,0.192226,0.014863,0,0.157038
GEN,CY2024Q4,Unknown,SP500,0.46896,0.944005,0,0.161258,0.00404,0,0.157038
GIS,CY2024Q4,Unknown,SP500,0.336331,0.944005,0,0.151908,0.032271,0,0.157038
HOLX,CY2024Q4,Unknown,SP500,0.971369,0.944005,1,0.196673,0.003795,0,0.157038
HON,CY2024Q4,Unknown,SP500,0.169471,0.944005,0,0.140146,0.020076,0,0.157038
HPE,CY2024Q4,Unknown,SP500,-0.686152,0.944005,0,0.079832,0.013425,0,0.157038
HRL,CY2024Q4,Unknown,SP500,-1.007072,0.944005,0,0.05721,0.003867,0,0.157038
HUBB,CY2024Q4,Unknown,SP500,0.286927,0.944005,0,0.148426,0.008192,0,0.157038
IFF,CY2024Q4,Unknown,SP500,,0.944005,0,,,0,0.157038
INTU,CY2024Q4,Unknown,SP500,-0.132647,0.944005,0,0.118849,0.058843,0,0.157038
IP,CY2024Q4,Unknown,SP500,-2.350363,0.944005,0,-0.037481,0.075179,0,0.157038
J,CY2024Q4,Unknown,SP500,-1.905717,0.944005,0,-0.006137,0.115934,0,0.157038
JBL,CY2024Q4,Unknown,SP500,-1.615823,0.944005,0,0.014298,0.004771,0,0.157038
JCI,CY2024Q4,Unknown,SP500,-0.723194,0.944005,0,0.077221,0.088089,0,0.157038
JKHY,CY2024Q4,Unknown,SP500,0.603361,0.944005,0,0.170732,0.027272,0,0.157038
KEYS,CY2024Q4,Unknown,SP500,0.028378,0.944005,0,0.1302,0.189438,1,0.157038
KLAC,CY2024Q4,Unknown,SP500,1.984896,0.944005,1,0.268118,0.064746,0,0.157038
KMB,CY2024Q4,Unknown,SP500,-0.273533,0.944005,0,0.108918,0.109953,0,0.157038
LHX,CY2024Q4,Unknown,SP500,,0.944005,0,,,0,0.157038
LITE,CY2024Q4,Unknown,SP500,-3.971272,0.944005,0,-0.151741,0.091582,0,0.157038
LRCX,CY2024Q4,Unknown,SP500,2.042322,0.944005,1,0.272166,0.004412,0,0.157038
LVS,CY2024Q4,Unknown,SP500,-0.231537,0.944005,0,0.111878,0.009343,0,0.157038
MCHP,CY2024Q4,Unknown,SP500,-2.565292,0.944005,0,-0.052632,0.119642,0,0.157038
MCK,CY2024Q4,Unknown,SP500,-1.687802,0.944005,0,0.009224,0.006651,0,0.157038
MDT,CY2024Q4,Unknown,SP500,0.395142,0.944005,0,0.156054,0.004918,0,0.157038
MLM,CY2024Q4,Unknown,SP500,1.135106,0.944005,1,0.208215,0.012857,0,0.157038
MSFT,CY2024Q4,Unknown,SP500,3.092856,0.944005,1,0.34622,0.029887,0,0.157038
MU,CY2024Q4,Unknown,SP500,1.227389,0.944005,1,0.21472,0.165976,1,0.157038
NI,CY2024Q4,Unknown,SP500,,0.944005,0,,,0,0.157038
NKE,CY2024Q4,Unknown,SP500,-0.483183,0.944005,0,0.09414,0.00345,0,0.157038
NTAP,CY2024Q4,Unknown,SP500,0.766136,0.944005,0,0.182206,0.001868,0,0.157038
NUE,CY2024Q4,Unknown,SP500,-1.243273,0.944005,0,0.04056,0.006976,0,0.157038
NWS,CY2024Q4,Unknown,SP500,-0.455827,0.944005,0,0.096068,0.039293,0,0.157038
NWSA,CY2024Q4,Unknown,SP500,-0.455827,0.944005,0,0.096068,0.039293,0,0.157038
ORCL,CY2024Q4,Unknown,SP500,1.36083,0.944005,1,0.224127,0.004017,0,0.157038
PANW,CY2024Q4,Unknown,SP500,-0.14046,0.944005,0,0.118299,0.045797,0,0.157038
PAYX,CY2024Q4,Unknown,SP500,2.755004,0.944005,1,0.322404,0.010929,0,0.157038
PG,CY2024Q4,Unknown,SP500,1.182972,0.944005,1,0.211589,0.029458,0,0.157038
PH,CY2024Q4,Unknown,SP500,,0.944005,0,,,0,0.157038
PLD,CY2024Q4,Unknown,SP500,,0.944005,0,,,0,0.157038
PTC,CY2024Q4,Unknown,SP500,0.240211,0.944005,0,0.145133,0.012185,0,0.157038
QCOM,CY2024Q4,Unknown,SP500,2.047296,0.944005,1,0.272517,0.045859,0,0.157038
RJF,CY2024Q4,Unknown,SP500,0.290801,0.944005,0,0.148699,0.017917,0,0.157038
RL,CY2024Q4,Unknown,SP500,0.146489,0.944005,0,0.138526,0.052779,0,0.157038
RMD,CY2024Q4,Unknown,SP500,1.998975,0.944005,1,0.269111,0.015233,0,0.157038
ROK,CY2024Q4,Unknown,SP500,-0.430967,0.944005,0,0.09782,0.015295,0,0.157038
ROP,CY2024Q4,Unknown,SP500,1.673074,0.944005,1,0.246137,0.037639,0,0.157038
SBUX,CY2024Q4,Unknown,SP500,-0.639752,0.944005,0,0.083103,0.032653,0,0.157038
SMCI,CY2024Q4,Unknown,SP500,-1.016659,0.944005,0,0.056534,0.014883,0,0.157038
SNDK,CY2024Q4,Unknown,SP500,-1.03222,0.944005,0,0.055437,0.056618,0,0.157038
SNPS,CY2024Q4,Unknown,SP500,1.067313,0.944005,1,0.203436,0.063929,0,0.157038
SPG,CY2024Q4,Unknown,SP500,5.104016,0.944005,1,0.48799,0.118645,0,0.157038
STE,CY2024Q4,Unknown,SP500,-0.018232,0.944005,0,0.126915,0.014048,0,0.157038
STX,CY2024Q4,Unknown,SP500,0.231464,0.944005,0,0.144516,0.003833,0,0.157038
STZ,CY2024Q4,Unknown,SP500,1.727868,0.944005,1,0.25,0.660757,1,0.157038
SYK,CY2024Q4,Unknown,SP500,-0.615174,0.944005,0,0.084835,0.066967,0,0.157038
SYY,CY2024Q4,Unknown,SP500,-1.532836,0.944005,0,0.020148,0.003773,0,0.157038
