ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
A,CY2022Q2,Unknown,SP500,0.898006,6.03192,0,0.191502,0.020998,0,0.26982
AAPL,CY2022Q2,Unknown,SP500,1.505951,6.03192,0,0.234357,0.022741,0,0.26982
ABBV,CY2022Q2,Unknown,SP500,-0.919804,6.03192,0,0.063361,0.268298,0,0.26982
ABNB,CY2022Q2,Unknown,SP500,0.736729,6.03192,0,0.180133,0.192724,0,0.26982
ABT,CY2022Q2,Unknown,SP500,0.724432,6.03192,0,0.179266,0.02645,0,0.26982
ACGL,CY2022Q2,Unknown,SP500,0.769954,6.03192,0,0.182475,0.081548,0,0.26982
ACN,CY2022Q2,Unknown,SP500,-0.250714,6.03192,0,0.110527,0.001867,0,0.26982
ADBE,CY2022Q2,Unknown,SP500,1.991472,6.03192,0,0.268582,0.028462,0,0.26982
ADI,CY2022Q2,Unknown,SP500,1.597867,6.03192,0,0.240836,0.022623,0,0.26982
ADM,CY2022Q2,Unknown,SP500,-1.176008,6.03192,0,0.045301,0.000735,0,0.26982
ADSK,CY2022Q2,Unknown,SP500,0.314419,6.03192,0,0.150364,0.025577,0,0.26982
AEE,CY2022Q2,Unknown,SP500,-0.100872,6.03192,0,0.121089,0.013557,0,0.26982
AES,CY2022Q2,Unknown,SP500,-2.643643,6.03192,0,-0.058155,0.098477,0,0.26982
AFL,CY2022Q2,Unknown,SP500,1.902025,6.03192,0,0.262277,0.05988,0,0.26982
AIG,CY2022Q2,Unknown,SP500,1.040783,6.03192,0,0.201566,0.077676,0,0.26982
AIZ,CY2022Q2,Unknown,SP500,-1.524761,6.03192,0,0.020717,0.039291,0,0.26982
AJG,CY2022Q2,Unknown,SP500,0.153371,6.03192,0,0.139011,0.041276,0,0.26982
AKAM,CY2022Q2,Unknown,SP500,0.349319,6.03192,0,0.152824,0.0057,0,0.26982
ALB,CY2022Q2,Unknown,SP500,2.082521,6.03192,0,0.275,0.050709,0,0.26982
ALGN,CY2022Q2,Unknown,SP500,-0.166049,6.03192,0,0.116495,0.021224,0,0.26982
ALL,CY2022Q2,Unknown,SP500,-2.994735,6.03192,0,-0.082904,0.136406,0,0.26982
ALLE,CY2022Q2,Unknown,SP500,0.291824,6.03192,0,0.148771,0.020318,0,0.26982
AMAT,CY2022Q2,Unknown,SP500,1.675649,6.03192,0,0.246319,0.000362,0,0.26982
AMD,CY2022Q2,Unknown,SP500,-0.850536,6.03192,0,0.068244,0.06527,0,0.26982
AME,CY2022Q2,Unknown,SP500,0.821924,6.03192,0,0.186139,0.00029,0,0.26982
AMGN,CY2022Q2,Unknown,SP500,1.014691,6.03192,0,0.199727,0.036887,0,0.26982
AMP,CY2022Q2,Unknown,SP500,0.677837,6.03192,0,0.175982,0.051479,0,0.26982
AMT,CY2022Q2,Unknown,SP500,7.985442,6.03192,1,4.138249,0.73155,1,0.26982
AMZN,CY2022Q2,Unknown,SP500,-2.055961,6.03192,0,-0.016728,0.016284,0,0.26982
ANET,CY2022Q2,Unknown,SP500,2.213324,6.03192,0,0.284221,0.025928,0,0.26982
AON,CY2022Q2,Unknown,SP500,0.563924,6.03192,0,0.167952,0.110795,0,0.26982
AOS,CY2022Q2,Unknown,SP500,0.031705,6.03192,0,0.130435,0.007735,0,0.26982
APD,CY2022Q2,Unknown,SP500,0.77034,6.03192,0,0.182502,0.002197,0,0.26982
