ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
ABBV,CY2024Q3,Unknown,SP500,-0.287225,5.977971,0,0.107953,0.013222,0,0.160772
ABNB,CY2024Q3,Unknown,SP500,3.381392,5.977971,0,0.366559,0.164594,1,0.160772
ABT,CY2024Q3,Unknown,SP500,0.376954,5.977971,0,0.154772,0.029302,0,0.160772
ACGL,CY2024Q3,Unknown,SP500,1.149549,5.977971,0,0.209233,0.090838,0,0.160772
ACN,CY2024Q3,Unknown,SP500,-0.362519,5.977971,0,0.102645,0.01468,0,0.160772
ADBE,CY2024Q3,Unknown,SP500,2.59876,5.977971,0,0.311391,0.015101,0,0.160772
ADM,CY2024Q3,Unknown,SP500,-1.776012,5.977971,0,0.003006,0.075864,0,0.160772
ADP,CY2024Q3,Unknown,SP500,0.98745,5.977971,0,0.197807,0.027736,0,0.160772
ADSK,CY2024Q3,Unknown,SP500,0.66617,5.977971,0,0.175159,0.012216,0,0.160772
AEE,CY2024Q3,Unknown,SP500,1.164798,5.977971,0,0.210308,0.056735,0,0.160772
AEP,CY2024Q3,Unknown,SP500,0.67623,5.977971,0,0.175868,,0,0.160772
AES,CY2024Q3,Unknown,SP500,0.355194,5.977971,0,0.153238,0.059424,0,0.160772
AFL,CY2024Q3,Unknown,SP500,-2.26603,5.977971,0,-0.031536,0.373109,1,0.160772
AIG,CY2024Q3,Unknown,SP500,-0.854144,5.977971,0,0.06799,0.67424,1,0.160772
AIZ,CY2024Q3,Unknown,SP500,-1.178178,5.977971,0,0.045148,0.019467,0,0.160772
AJG,CY2024Q3,Unknown,SP500,-0.236808,5.977971,0,0.111507,0.009525,0,0.160772
AKAM,CY2024Q3,Unknown,SP500,-0.999956,5.977971,0,0.057711,0.076982,0,0.160772
ALB,CY2024Q3,Unknown,SP500,-7.985442,5.977971,0,-0.78893,0.657461,1,0.160772
ALGN,CY2024Q3,Unknown,SP500,-0.136051,5.977971,0,0.118609,0.024251,0,0.160772
ALL,CY2024Q3,Unknown,SP500,-0.803352,5.977971,0,0.07157,0.050506,0,0.160772
ALLE,CY2024Q3,Unknown,SP500,0.733961,5.977971,0,0.179938,0.019482,0,0.160772
AMCR,CY2024Q3,Unknown,SP500,-1.01056,5.977971,0,0.056964,0.002141,0,0.160772
AMD,CY2024Q3,Unknown,SP500,-0.214685,5.977971,0,0.113066,0.067651,0,0.160772
AME,CY2024Q3,Unknown,SP500,1.003622,5.977971,0,0.198947,0.004134,0,0.160772
AMGN,CY2024Q3,Unknown,SP500,2.902813,5.977971,0,0.332824,0.243887,1,0.160772
AMP,CY2024Q3,Unknown,SP500,-0.228942,5.977971,0,0.112061,0.076691,0,0.160772
AMT,CY2024Q3,Unknown,SP500,,5.977971,0,,,0,0.160772
AMZN,CY2024Q3,Unknown,SP500,-0.450022,5.977971,0,0.096477,0.005348,0,0.160772
ANET,CY2024Q3,Unknown,SP500,4.040648,5.977971,0,0.413031,0.01954,0,0.160772
AON,CY2024Q3,Unknown,SP500,-0.510988,5.977971,0,0.09218,0.047182,0,0.160772
AOS,CY2024Q3,Unknown,SP500,0.06654,5.977971,0,0.13289,0.019453,0,0.160772
APH,CY2024Q3,Unknown,SP500,0.302761,5.977971,0,0.149542,0.004113,0,0.160772
APO,CY2024Q3,Unknown,SP500,-0.338542,5.977971,0,0.104336,0.037406,0,0.160772
APP,CY2024Q3,Unknown,SP500,5.554716,5.977971,0,0.51976,0.083755,0,0.160772
APTV,CY2024Q3,Unknown,SP500,-0.757767,5.977971,0,0.074784,0.110922,0,0.160772
ARE,CY2024Q3,Unknown,SP500,1.190516,5.977971,0,0.212121,0.150844,0,0.160772
ARES,CY2024Q3,Unknown,SP500,-0.337276,5.977971,0,0.104425,0.015981,0,0.160772
AVB,CY2024Q3,Unknown,SP500,7.985442,5.977971,1,186.5,59.5,1,0.160772
AVY,CY2024Q3,Unknown,SP500,-0.63594,5.977971,0,0.083372,0.004177,0,0.160772
AWK,CY2024Q3,Unknown,SP500,1.92015,5.977971,0,0.263554,0.020572,0,0.160772
AXON,CY2024Q3,Unknown,SP500,-0.071471,5.977971,0,0.123162,0.041651,0,0.160772
AXP,CY2024Q3,Unknown,SP500,1.841754,5.977971,0,0.258028,0.049061,0,0.160772
BA,CY2024Q3,Unknown,SP500,-6.724946,5.977971,0,-0.345852,0.260532,1,0.160772
BAC,CY2024Q3,Unknown,SP500,2.041171,5.977971,0,0.272085,0.000304,0,0.160772
BALL,CY2024Q3,Unknown,SP500,-0.902681,5.977971,0,0.064568,0.010834,0,0.160772
BAX,CY2024Q3,Unknown,SP500,-1.082808,5.977971,0,0.051871,0.168426,1,0.160772
BBY,CY2024Q3,Unknown,SP500,-1.408618,5.977971,0,0.028904,0.002427,0,0.160772
BF.B,CY2024Q3,Unknown,SP500,1.523822,5.977971,0,0.235616,0.030569,0,0.160772
BG,CY2024Q3,Unknown,SP500,-1.008964,5.977971,0,0.057076,0.03833,0,0.160772
BIIB,CY2024Q3,Unknown,SP500,0.419135,5.977971,0,0.157745,0.079171,0,0.160772
