ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
ABBV,CY2022Q3,Unknown,SP500,1.963473,5.981761,0,0.266608,0.203247,0,0.243664
ABNB,CY2022Q3,Unknown,SP500,4.152884,5.981761,0,0.420943,0.24081,0,0.243664
ABT,CY2022Q3,Unknown,SP500,0.136872,5.981761,0,0.137848,0.041418,0,0.243664
ACGL,CY2022Q3,Unknown,SP500,-1.717581,5.981761,0,0.007125,0.17535,0,0.243664
ACN,CY2022Q3,Unknown,SP500,-0.287286,5.981761,0,0.107949,0.002578,0,0.243664
ADBE,CY2022Q3,Unknown,SP500,1.816671,5.981761,0,0.25626,0.012322,0,0.243664
ADM,CY2022Q3,Unknown,SP500,-1.226108,5.981761,0,0.04177,0.003532,0,0.243664
ADP,CY2022Q3,Unknown,SP500,0.802542,5.981761,0,0.184772,0.021077,0,0.243664
ADSK,CY2022Q3,Unknown,SP500,0.375756,5.981761,0,0.154688,0.004324,0,0.243664
AEE,CY2022Q3,Unknown,SP500,0.968119,5.981761,0,0.196444,0.075355,0,0.243664
AES,CY2022Q3,Unknown,SP500,-0.17202,5.981761,0,0.116074,0.174229,0,0.243664
AFL,CY2022Q3,Unknown,SP500,3.552398,5.981761,0,0.378614,0.116337,0,0.243664
AIG,CY2022Q3,Unknown,SP500,0.96627,5.981761,0,0.196314,0.005253,0,0.243664
AIZ,CY2022Q3,Unknown,SP500,-1.779683,5.981761,0,0.002747,0.01797,0,0.243664
AJG,CY2022Q3,Unknown,SP500,-0.041924,5.981761,0,0.125245,0.013767,0,0.243664
AKAM,CY2022Q3,Unknown,SP500,0.175761,5.981761,0,0.14059,0.012234,0,0.243664
ALB,CY2022Q3,Unknown,SP500,4.264006,5.981761,0,0.428776,0.153776,0,0.243664
ALGN,CY2022Q3,Unknown,SP500,-0.655077,5.981761,0,0.082022,0.034472,0,0.243664
ALL,CY2022Q3,Unknown,SP500,-2.526457,5.981761,0,-0.049894,0.03301,0,0.243664
ALLE,CY2022Q3,Unknown,SP500,-0.033753,5.981761,0,0.125821,0.02295,0,0.243664
AMCR,CY2022Q3,Unknown,SP500,-0.932025,5.981761,0,0.0625,0.010046,0,0.243664
AMD,CY2022Q3,Unknown,SP500,-1.650411,5.981761,0,0.01186,0.056384,0,0.243664
AME,CY2022Q3,Unknown,SP500,0.905221,5.981761,0,0.19201,0.005872,0,0.243664
AMGN,CY2022Q3,Unknown,SP500,2.751519,5.981761,0,0.322159,0.122432,0,0.243664
AMP,CY2022Q3,Unknown,SP500,2.482987,5.981761,0,0.303229,0.127248,0,0.243664
