ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
ABBV,CY2023Q3,Unknown,SP500,-0.007578,6.048791,0,0.127666,0.018313,0,0.1609
ABNB,CY2023Q3,Unknown,SP500,7.985442,6.048791,1,1.287607,1.025932,1,0.1609
ABT,CY2023Q3,Unknown,SP500,0.189747,6.048791,0,0.141575,0.003772,0,0.1609
ACGL,CY2023Q3,Unknown,SP500,1.262314,6.048791,0,0.217182,0.004975,0,0.1609
ACN,CY2023Q3,Unknown,SP500,-0.600169,6.048791,0,0.085893,0.035447,0,0.1609
ADBE,CY2023Q3,Unknown,SP500,2.251506,6.048791,0,0.286912,0.018017,0,0.1609
ADM,CY2023Q3,Unknown,SP500,0.001723,6.048791,0,0.128321,0.091521,0,0.1609
ADP,CY2023Q3,Unknown,SP500,0.88211,6.048791,0,0.190381,0.021267,0,0.1609
ADSK,CY2023Q3,Unknown,SP500,0.599201,6.048791,0,0.170438,0.005383,0,0.1609
AEE,CY2023Q3,Unknown,SP500,1.583253,6.048791,0,0.239806,0.10401,0,0.1609
AES,CY2023Q3,Unknown,SP500,-0.864378,6.048791,0,0.067268,0.080153,0,0.1609
AFL,CY2023Q3,Unknown,SP500,2.677907,6.048791,0,0.31697,0.001038,0,0.1609
AIG,CY2023Q3,Unknown,SP500,2.138303,6.048791,0,0.278932,0.078152,0,0.1609
AIZ,CY2023Q3,Unknown,SP500,-0.847005,6.048791,0,0.068493,0.011392,0,0.1609
AJG,CY2023Q3,Unknown,SP500,-0.21902,6.048791,0,0.112761,0.016528,0,0.1609
AKAM,CY2023Q3,Unknown,SP500,0.548144,6.048791,0,0.166839,0.029019,0,0.1609
ALB,CY2023Q3,Unknown,SP500,0.041313,6.048791,0,0.131112,0.14315,0,0.1609
ALGN,CY2023Q3,Unknown,SP500,-0.030617,6.048791,0,0.126042,0.014265,0,0.1609
ALL,CY2023Q3,Unknown,SP500,-1.823549,6.048791,0,-0.000345,0.096372,0,0.1609
ALLE,CY2023Q3,Unknown,SP500,0.592053,6.048791,0,0.169935,0.014403,0,0.1609
AMCR,CY2023Q3,Unknown,SP500,-1.192374,6.048791,0,0.044148,0.004121,0,0.1609
AMD,CY2023Q3,Unknown,SP500,-1.087338,6.048791,0,0.051552,0.046513,0,0.1609
AME,CY2023Q3,Unknown,SP500,1.15317,6.048791,0,0.209489,0.012648,0,0.1609
AMGN,CY2023Q3,Unknown,SP500,1.736602,6.048791,0,0.250616,0.053221,0,0.1609
AMP,CY2023Q3,Unknown,SP500,1.21625,6.048791,0,0.213935,0.008176,0,0.1609
AMT,CY2023Q3,Unknown,SP500,,6.048791,0,,,0,0.1609
AMZN,CY2023Q3,Unknown,SP500,-0.839193,6.048791,0,0.069044,0.018814,0,0.1609
ANET,CY2023Q3,Unknown,SP500,3.304885,6.048791,0,0.361166,0.023949,0,0.1609
AON,CY2023Q3,Unknown,SP500,0.37195,6.048791,0,0.154419,0.021848,0,0.1609
