ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
A,CY2022Q4,Unknown,SP500,1.025026,4.41631,0,0.200456,0.008954,0,0.157736
AAPL,CY2022Q4,Unknown,SP500,1.813781,4.41631,0,0.256056,0.021699,0,0.157736
ABBV,CY2022Q4,Unknown,SP500,0.501443,4.41631,0,0.163547,0.103061,0,0.157736
ACN,CY2022Q4,Unknown,SP500,-0.048547,4.41631,0,0.124778,0.016829,0,0.157736
ADI,CY2022Q4,Unknown,SP500,2.376064,4.41631,0,0.295692,0.054856,0,0.157736
ADP,CY2022Q4,Unknown,SP500,0.80792,4.41631,0,0.185151,0.000379,0,0.157736
AES,CY2022Q4,Unknown,SP500,-6.004945,4.41631,0,-0.295098,0.411172,1,0.157736
AFL,CY2022Q4,Unknown,SP500,,4.41631,0,,,0,0.157736
AIZ,CY2022Q4,Unknown,SP500,,4.41631,0,,,0,0.157736
AKAM,CY2022Q4,Unknown,SP500,0.153334,4.41631,0,0.139009,0.001581,0,0.157736
ALL,CY2022Q4,Unknown,SP500,,4.41631,0,,,0,0.157736
AMAT,CY2022Q4,Unknown,SP500,1.795757,4.41631,0,0.254786,0.008467,0,0.157736
AMCR,CY2022Q4,Unknown,SP500,-0.030787,4.41631,0,0.12603,0.06353,0,0.157736
APD,CY2022Q4,Unknown,SP500,0.737076,4.41631,0,0.180157,0.002345,0,0.157736
APO,CY2022Q4,Unknown,SP500,0.056804,4.41631,0,0.132204,0.321194,1,0.157736
ATO,CY2022Q4,Unknown,SP500,0.781491,4.41631,0,0.183288,0.0252,0,0.157736
AVGO,CY2022Q4,Unknown,SP500,4.186765,4.41631,0,0.423331,0.060146,0,0.157736
AZO,CY2022Q4,Unknown,SP500,0.01466,4.41631,0,0.129233,0.024195,0,0.157736
BAX,CY2022Q4,Unknown,SP500,-1.133026,4.41631,0,0.048331,0.86213,1,0.157736
BDX,CY2022Q4,Unknown,SP500,-0.244141,4.41631,0,0.11099,0.03342,0,0.157736
BEN,CY2022Q4,Unknown,SP500,-0.621456,4.41631,0,0.084392,0.041654,0,0.157736
BF.B,CY2022Q4,Unknown,SP500,-0.506343,4.41631,0,0.092507,0.114988,0,0.157736
BR,CY2022Q4,Unknown,SP500,-1.182311,4.41631,0,0.044857,0.005886,0,0.157736
CAG,CY2022Q4,Unknown,SP500,-0.182951,4.41631,0,0.115303,0.141819,0,0.157736
CAH,CY2022Q4,Unknown,SP500,-1.839879,4.41631,0,-0.001496,0.003472,0,0.157736
CIEN,CY2022Q4,Unknown,SP500,-0.798653,4.41631,0,0.071902,0.059229,0,0.157736
CLX,CY2022Q4,Unknown,SP500,-0.99975,4.41631,0,0.057726,0.008875,0,0.157736
COHR,CY2022Q4,Unknown,SP500,-2.284622,4.41631,0,-0.032847,0.00385,0,0.157736
COO,CY2022Q4,Unknown,SP500,-0.414909,4.41631,0,0.098952,0.017299,0,0.157736
COR,CY2022Q4,Unknown,SP500,-1.710308,4.41631,0,0.007638,0.000862,0,0.157736
COST,CY2022Q4,Unknown,SP500,-1.463202,4.41631,0,0.025056,0.000668,0,0.157736
CPB,CY2022Q4,Unknown,SP500,-0.49424,4.41631,0,0.09336,0.02198,0,0.157736
CPRT,CY2022Q4,Unknown,SP500,2.539455,4.41631,0,0.30721,0.031734,0,0.157736
CSCO,CY2022Q4,Unknown,SP500,1.07555,4.41631,0,0.204017,0.008154,0,0.157736
CTAS,CY2022Q4,Unknown,SP500,0.294583,4.41631,0,0.148966,0.013546,0,0.157736
DE,CY2022Q4,Unknown,SP500,0.377879,4.41631,0,0.154837,0.021239,0,0.157736
DECK,CY2022Q4,Unknown,SP500,1.12185,4.41631,0,0.207281,0.090842,0,0.157736
DHI,CY2022Q4,Unknown,SP500,0.055754,4.41631,0,0.13213,0.055398,0,0.157736
DHR,CY2022Q4,Unknown,SP500,,4.41631,0,,,0,0.157736
DIS,CY2022Q4,Unknown,SP500,-1.046964,4.41631,0,0.054398,0.011125,0,0.157736
DRI,CY2022Q4,Unknown,SP500,-0.751989,4.41631,0,0.075191,0.003713,0,0.157736
ECL,CY2022Q4,Unknown,SP500,,4.41631,0,,,0,0.157736
EL,CY2022Q4,Unknown,SP500,,4.41631,0,,,0,0.157736
EMR,CY2022Q4,Unknown,SP500,7.985017,4.41631,1,0.691076,0.500943,1,0.157736
FDS,CY2022Q4,Unknown,SP500,2.029849,4.41631,0,0.271287,0.117913,0,0.157736
FDX,CY2022Q4,Unknown,SP500,-1.328665,4.41631,0,0.03454,0.003107,0,0.157736
FFIV,CY2022Q4,Unknown,SP500,-0.359514,4.41631,0,0.102857,0.020288,0,0.157736
FICO,CY2022Q4,Unknown,SP500,2.211018,4.41631,0,0.284058,0.014717,0,0.157736
FIS,CY2022Q4,Unknown,SP500,-7.985442,4.41631,0,-6.874505,6.977611,1,0.157736
FOX,CY2022Q4,Unknown,SP500,-0.829788,4.41631,0,0.069707,0.122336,0,0.157736
FOXA,CY2022Q4,Unknown,SP500,-0.829788,4.41631,0,0.069707,0.122336,0,0.157736
GE,CY2022Q4,Unknown,SP500,0.123809,4.41631,0,0.136927,0.125283,0,0.157736
GEN,CY2022Q4,Unknown,SP500,0.682098,4.41631,0,0.176282,0.084036,0,0.157736
GIS,CY2022Q4,Unknown,SP500,-0.17208,4.41631,0,0.11607,0.057733,0,0.157736
