ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
A,CY2021Q2,Unknown,SP500,0.542712,5.977971,0,0.166456,0.024817,0,0.291885
AAPL,CY2021Q2,Unknown,SP500,1.969227,5.977971,0,0.267014,0.003239,0,0.291885
ABBV,CY2021Q2,Unknown,SP500,-1.040194,5.977971,0,0.054875,0.218223,0,0.291885
ABNB,CY2021Q2,Unknown,SP500,-2.541243,5.977971,0,-0.050936,1.270371,1,0.291885
ABT,CY2021Q2,Unknown,SP500,-0.168722,5.977971,0,0.116306,0.055174,0,0.291885
ACGL,CY2021Q2,Unknown,SP500,1.907264,5.977971,0,0.262646,0.069354,0,0.291885
ACN,CY2021Q2,Unknown,SP500,-0.161971,5.977971,0,0.116782,0.002427,0,0.291885
ADBE,CY2021Q2,Unknown,SP500,2.309554,5.977971,0,0.291004,0.031915,0,0.291885
ADI,CY2021Q2,Unknown,SP500,2.237971,5.977971,0,0.285958,0.031292,0,0.291885
ADM,CY2021Q2,Unknown,SP500,-1.378086,5.977971,0,0.031056,0.005412,0,0.291885
ADSK,CY2021Q2,Unknown,SP500,-0.279598,5.977971,0,0.108491,0.049245,0,0.291885
AEE,CY2021Q2,Unknown,SP500,0.185901,5.977971,0,0.141304,0.00876,0,0.291885
AES,CY2021Q2,Unknown,SP500,-1.671541,5.977971,0,0.01037,0.066537,0,0.291885
AFL,CY2021Q2,Unknown,SP500,0.998676,5.977971,0,0.198598,0.021712,0,0.291885
AIG,CY2021Q2,Unknown,SP500,-1.687168,5.977971,0,0.009269,0.258892,0,0.291885
AIZ,CY2021Q2,Unknown,SP500,-0.669035,5.977971,0,0.081039,0.014043,0,0.291885
AJG,CY2021Q2,Unknown,SP500,-0.424986,5.977971,0,0.098242,0.078201,0,0.291885
AKAM,CY2021Q2,Unknown,SP500,0.775753,5.977971,0,0.182884,0.002169,0,0.291885
ALB,CY2021Q2,Unknown,SP500,5.970867,5.977971,0,0.549096,0.433293,1,0.291885
ALGN,CY2021Q2,Unknown,SP500,0.987694,5.977971,0,0.197824,0.02564,0,0.291885
ALL,CY2021Q2,Unknown,SP500,0.004245,5.977971,0,0.128499,0.239414,0,0.291885
ALLE,CY2021Q2,Unknown,SP500,0.441244,5.977971,0,0.159304,0.003684,0,0.291885
AMAT,CY2021Q2,Unknown,SP500,2.110224,5.977971,0,0.276953,0.038687,0,0.291885
AMD,CY2021Q2,Unknown,SP500,0.797481,5.977971,0,0.184416,0.023313,0,0.291885
AME,CY2021Q2,Unknown,SP500,0.555929,5.977971,0,0.167388,0.012711,0,0.291885
AMGN,CY2021Q2,Unknown,SP500,-0.810021,5.977971,0,0.0711,0.207836,0,0.291885
AMP,CY2021Q2,Unknown,SP500,-0.331976,5.977971,0,0.104798,0.324072,1,0.291885
AMT,CY2021Q2,Unknown,SP500,7.985442,5.977971,1,4.144444,0.397809,1,0.291885
AMZN,CY2021Q2,Unknown,SP500,-0.842891,5.977971,0,0.068783,0.005923,0,0.291885
ANET,CY2021Q2,Unknown,SP500,2.134189,5.977971,0,0.278642,0.009181,0,0.291885
AON,CY2021Q2,Unknown,SP500,0.044314,5.977971,0,0.131324,0.127683,0,0.291885
AOS,CY2021Q2,Unknown,SP500,0.127809,5.977971,0,0.137209,0.009771,0,0.291885
APD,CY2021Q2,Unknown,SP500,1.089358,5.977971,0,0.20499,0.015942,0,0.291885
APH,CY2021Q2,Unknown,SP500,0.159059,5.977971,0,0.139412,0.000582,0,0.291885
APO,CY2021Q2,Unknown,SP500,4.930767,5.977971,0,0.475777,0.179917,0,0.291885
APP,CY2021Q2,Unknown,SP500,-1.521787,5.977971,0,0.020927,0.039139,0,0.291885
ARE,CY2021Q2,Unknown,SP500,7.985442,5.977971,1,0.754902,0.738235,1,0.291885
ARES,CY2021Q2,Unknown,SP500,-0.263115,5.977971,0,0.109653,0.021507,0,0.291885
ATO,CY2021Q2,Unknown,SP500,0.569103,5.977971,0,0.168317,0.056854,0,0.291885
AVB,CY2021Q2,Unknown,SP500,,5.977971,0,,,0,0.291885
AVGO,CY2021Q2,Unknown,SP500,2.107741,5.977971,0,0.276778,0.050908,0,0.291885
AVY,CY2021Q2,Unknown,SP500,-0.576866,5.977971,0,0.087536,0.014853,0,0.291885
AXON,CY2021Q2,Unknown,SP500,-4.86316,5.977971,0,-0.214612,0.031542,0,0.291885
AXP,CY2021Q2,Unknown,SP500,2.964589,5.977971,0,0.337178,0.058117,0,0.291885
BA,CY2021Q2,Unknown,SP500,-1.328761,5.977971,0,0.034533,0.069823,0,0.291885
BAC,CY2021Q2,Unknown,SP500,4.277149,5.977971,0,0.429703,0.076958,0,0.291885
