ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
A,CY2021Q4,Unknown,SP500,0.579591,3.043705,0,0.169056,0.0026,0,0.1995
AAPL,CY2021Q4,Unknown,SP500,2.144913,3.043705,0,0.279398,0.012384,0,0.1995
ABBV,CY2021Q4,Unknown,SP500,2.035205,3.043705,0,0.271665,0.050008,0,0.1995
ACN,CY2021Q4,Unknown,SP500,-0.120874,3.043705,0,0.119679,0.014157,0,0.1995
ADI,CY2021Q4,Unknown,SP500,-0.338735,3.043705,0,0.104322,0.181636,0,0.1995
ADP,CY2021Q4,Unknown,SP500,0.627344,3.043705,0,0.172422,0.010511,0,0.1995
AES,CY2021Q4,Unknown,SP500,-5.055339,3.043705,0,-0.228159,0.341136,1,0.1995
AIZ,CY2021Q4,Unknown,SP500,,3.043705,0,,,0,0.1995
AKAM,CY2021Q4,Unknown,SP500,0.705059,3.043705,0,0.177901,0.030239,0,0.1995
ALL,CY2021Q4,Unknown,SP500,,3.043705,0,,,0,0.1995
AMAT,CY2021Q4,Unknown,SP500,2.235161,3.043705,0,0.28576,0.008807,0,0.1995
AMCR,CY2021Q4,Unknown,SP500,-0.908513,3.043705,0,0.064157,0.005093,0,0.1995
APD,CY2021Q4,Unknown,SP500,0.834722,3.043705,0,0.187041,0.01795,0,0.1995
ATO,CY2021Q4,Unknown,SP500,1.668351,3.043705,0,0.245805,0.077488,0,0.1995
AVGO,CY2021Q4,Unknown,SP500,2.732088,3.043705,0,0.320789,0.044011,0,0.1995
AZO,CY2021Q4,Unknown,SP500,0.327238,3.043705,0,0.151267,0.011976,0,0.1995
BDX,CY2021Q4,Unknown,SP500,0.21695,3.043705,0,0.143493,0.029536,0,0.1995
BEN,CY2021Q4,Unknown,SP500,1.070868,3.043705,0,0.203687,0.002122,0,0.1995
BF.B,CY2021Q4,Unknown,SP500,1.724448,3.043705,0,0.249759,0.012334,0,0.1995
BR,CY2021Q4,Unknown,SP500,-1.289492,3.043705,0,0.037302,0.018859,0,0.1995
C,CY2021Q4,Unknown,SP500,0.826492,3.043705,0,0.186461,0.079717,0,0.1995
CAG,CY2021Q4,Unknown,SP500,-0.538707,3.043705,0,0.090226,0.001647,0,0.1995
CAH,CY2021Q4,Unknown,SP500,-1.803364,3.043705,0,0.001078,0.005086,0,0.1995
CIEN,CY2021Q4,Unknown,SP500,-1.04548,3.043705,0,0.054502,0.186388,0,0.1995
CLX,CY2021Q4,Unknown,SP500,-1.239803,3.043705,0,0.040804,0.037823,0,0.1995
COHR,CY2021Q4,Unknown,SP500,-0.623297,3.043705,0,0.084263,0.008819,0,0.1995
COO,CY2021Q4,Unknown,SP500,-0.10623,3.043705,0,0.120712,0.686628,1,0.1995
COR,CY2021Q4,Unknown,SP500,-1.711836,3.043705,0,0.00753,0.002062,0,0.1995
COST,CY2021Q4,Unknown,SP500,-1.445715,3.043705,0,0.026289,0.000656,0,0.1995
CPAY,CY2021Q4,Unknown,SP500,2.161234,3.043705,0,0.280549,0.029385,0,0.1995
CPB,CY2021Q4,Unknown,SP500,-0.457202,3.043705,0,0.095971,0.020755,0,0.1995
CPRT,CY2021Q4,Unknown,SP500,2.877318,3.043705,0,0.331027,0.010039,0,0.1995
CSCO,CY2021Q4,Unknown,SP500,1.49701,3.043705,0,0.233726,0.002719,0,0.1995
CSX,CY2021Q4,Unknown,SP500,2.047645,3.043705,0,0.272542,0.021505,0,0.1995
CTAS,CY2021Q4,Unknown,SP500,0.358711,3.043705,0,0.153486,0.021,0,0.1995
DE,CY2021Q4,Unknown,SP500,-0.479953,3.043705,0,0.094367,0.05025,0,0.1995
DECK,CY2021Q4,Unknown,SP500,0.963634,3.043705,0,0.196128,0.054854,0,0.1995
DELL,CY2021Q4,Unknown,SP500,-1.817642,3.043705,0,7.1e-05,0.145365,0,0.1995
DHI,CY2021Q4,Unknown,SP500,0.478313,3.043705,0,0.161917,0.008725,0,0.1995
DIS,CY2021Q4,Unknown,SP500,-1.100866,3.043705,0,0.050598,0.003332,0,0.1995
DRI,CY2021Q4,Unknown,SP500,-0.613587,3.043705,0,0.084947,0.015226,0,0.1995
EBAY,CY2021Q4,Unknown,SP500,7.985442,3.043705,1,0.75354,0.647982,1,0.1995
ECL,CY2021Q4,Unknown,SP500,,3.043705,0,,,0,0.1995
EL,CY2021Q4,Unknown,SP500,,3.043705,0,,,0,0.1995
EMR,CY2021Q4,Unknown,SP500,2.208829,3.043705,0,0.283904,0.148468,0,0.1995
FDS,CY2021Q4,Unknown,SP500,1.786282,3.043705,0,0.254118,0.001618,0,0.1995
FDX,CY2021Q4,Unknown,SP500,-1.187733,3.043705,0,0.044475,0.006064,0,0.1995
FFIV,CY2021Q4,Unknown,SP500,0.122382,3.043705,0,0.136827,0.00121,0,0.1995
FICO,CY2021Q4,Unknown,SP500,1.926121,3.043705,0,0.263975,0.18277,0,0.1995
FOX,CY2021Q4,Unknown,SP500,-2.051843,3.043705,0,-0.016438,0.24895,1,0.1995
FOXA,CY2021Q4,Unknown,SP500,-2.051843,3.043705,0,-0.016438,0.24895,1,0.1995
FTV,CY2021Q4,Unknown,SP500,,3.043705,0,,,0,0.1995
GE,CY2021Q4,Unknown,SP500,-5.494942,3.043705,0,-0.259147,0.373441,1,0.1995
GEN,CY2021Q4,Unknown,SP500,2.263383,3.043705,0,0.287749,0.193465,0,0.1995
GIS,CY2021Q4,Unknown,SP500,-0.132927,3.043705,0,0.11883,0.019276,0,0.1995
GNRC,CY2021Q4,Unknown,SP500,0.082574,3.043705,0,0.134021,0.005958,0,0.1995
GPC,CY2021Q4,Unknown,SP500,-1.062537,3.043705,0,0.0533,0.00578,0,0.1995
HOLX,CY2021Q4,Unknown,SP500,2.993623,3.043705,0,0.339225,0.109773,0,0.1995
HPE,CY2021Q4,Unknown,SP500,-0.773193,3.043705,0,0.073696,0.01686,0,0.1995
HRL,CY2021Q4,Unknown,SP500,-0.700173,3.043705,0,0.078844,0.017042,0,0.1995
HUBB,CY2021Q4,Unknown,SP500,,3.043705,0,,,0,0.1995
INTU,CY2021Q4,Unknown,SP500,-1.287938,3.043705,0,0.037411,0.076191,0,0.1995
ISRG,CY2021Q4,Unknown,SP500,1.66613,3.043705,0,0.245648,0.025913,0,0.1995
J,CY2021Q4,Unknown,SP500,-1.256415,3.043705,0,0.039633,0.006787,0,0.1995
JBL,CY2021Q4,Unknown,SP500,-1.419584,3.043705,0,0.028131,0.004708,0,0.1995
JCI,CY2021Q4,Unknown,SP500,-0.896632,3.043705,0,0.064995,0.025527,0,0.1995
JKHY,CY2021Q4,Unknown,SP500,0.938156,3.043705,0,0.194332,0.014684,0,0.1995
KLAC,CY2021Q4,Unknown,SP500,2.504094,3.043705,0,0.304717,0.207759,1,0.1995
LII,CY2021Q4,Unknown,SP500,,3.043705,0,,,0,0.1995
LITE,CY2021Q4,Unknown,SP500,-0.009691,3.043705,0,0.127517,,0,0.1995
LRCX,CY2021Q4,Unknown,SP500,2.191845,3.043705,0,0.282706,0.008543,0,0.1995
LVS,CY2021Q4,Unknown,SP500,-3.549697,3.043705,0,-0.122024,0.307381,1,0.1995
MCHP,CY2021Q4,Unknown,SP500,1.029861,3.043705,0,0.200796,0.05413,0,0.1995
MCK,CY2021Q4,Unknown,SP500,-1.820103,3.043705,0,-0.000102,0.004112,0,0.1995
MDT,CY2021Q4,Unknown,SP500,0.885894,3.043705,0,0.190648,0.023578,0,0.1995
MSCI,CY2021Q4,Unknown,SP500,3.185167,3.043705,1,0.352727,0.023907,0,0.1995
MSFT,CY2021Q4,Unknown,SP500,3.327534,3.043705,1,0.362763,0.089716,0,0.1995
MU,CY2021Q4,Unknown,SP500,2.436988,3.043705,0,0.299987,0.066223,0,0.1995
NCLH,CY2021Q4,Unknown,SP500,-7.985442,3.043705,0,-3.229979,2.299432,1,0.1995
NKE,CY2021Q4,Unknown,SP500,-0.148601,3.043705,0,0.117725,0.03528,0,0.1995
NTAP,CY2021Q4,Unknown,SP500,0.396274,3.043705,0,0.156134,0.013094,0,0.1995
NUE,CY2021Q4,Unknown,SP500,1.261112,3.043705,0,0.217098,0.010756,0,0.1995
NWS,CY2021Q4,Unknown,SP500,-0.591665,3.043705,0,0.086492,0.008155,0,0.1995
NWSA,CY2021Q4,Unknown,SP500,-0.591665,3.043705,0,0.086492,0.008155,0,0.1995
ORCL,CY2021Q4,Unknown,SP500,-3.526191,3.043705,0,-0.120367,0.372937,1,0.1995
ORLY,CY2021Q4,Unknown,SP500,0.418532,3.043705,0,0.157703,0.002929,0,0.1995
PANW,CY2021Q4,Unknown,SP500,-2.820407,3.043705,0,-0.070615,0.012785,0,0.1995
PAYX,CY2021Q4,Unknown,SP500,,3.043705,0,,,0,0.1995
PG,CY2021Q4,Unknown,SP500,1.0405,3.043705,0,0.201546,0.000637,0,0.1995
PH,CY2021Q4,Unknown,SP500,,3.043705,0,,,0,0.1995
PLD,CY2021Q4,Unknown,SP500,,3.043705,0,,,0,0.1995
POOL,CY2021Q4,Unknown,SP500,-0.339796,3.043705,0,0.104247,0.026866,0,0.1995
PTC,CY2021Q4,Unknown,SP500,-0.393851,3.043705,0,0.100437,0.016536,0,0.1995
QCOM,CY2021Q4,Unknown,SP500,2.685645,3.043705,0,0.317515,0.066026,0,0.1995
RJF,CY2021Q4,Unknown,SP500,0.426553,3.043705,0,0.158268,0.036006,0,0.1995
RL,CY2021Q4,Unknown,SP500,-0.114761,3.043705,0,0.12011,0.008214,0,0.1995
RMD,CY2021Q4,Unknown,SP500,1.383122,3.043705,0,0.225698,3.5e-05,0,0.1995
ROK,CY2021Q4,Unknown,SP500,0.030044,3.043705,0,0.130318,0.016327,0,0.1995
ROP,CY2021Q4,Unknown,SP500,1.431619,3.043705,0,0.229117,0.006273,0,0.1995
SBUX,CY2021Q4,Unknown,SP500,-0.380661,3.043705,0,0.101366,0.052428,0,0.1995
SHW,CY2021Q4,Unknown,SP500,-0.913034,3.043705,0,0.063839,0.033694,0,0.1995
SMCI,CY2021Q4,Unknown,SP500,-1.31028,3.043705,0,0.035836,0.011635,0,0.1995
SNPS,CY2021Q4,Unknown,SP500,1.688773,3.043705,0,0.247244,0.058975,0,0.1995
SPG,CY2021Q4,Unknown,SP500,4.322233,3.043705,1,0.432881,0.167736,0,0.1995
STE,CY2021Q4,Unknown,SP500,-0.128997,3.043705,0,0.119107,0.060627,0,0.1995
STX,CY2021Q4,Unknown,SP500,0.462228,3.043705,0,0.160783,0.008077,0,0.1995
STZ,CY2021Q4,Unknown,SP500,1.060125,3.043705,0,0.20293,0.202086,1,0.1995
SWK,CY2021Q4,Unknown,SP500,,3.043705,0,,,0,0.1995
SYK,CY2021Q4,Unknown,SP500,0.179046,3.043705,0,0.140821,0.035533,0,0.1995
SYY,CY2021Q4,Unknown,SP500,-1.673492,3.043705,0,0.010233,0.012736,0,0.1995
T,CY2021Q4,Unknown,SP500,,3.043705,0,,,0,0.1995
TDG,CY2021Q4,Unknown,SP500,0.117972,3.043705,0,0.136516,0.123747,0,0.1995
TECH,CY2021Q4,Unknown,SP500,2.400258,3.043705,0,0.297398,0.02608,0,0.1995
TPR,CY2021Q4,Unknown,SP500,0.288387,3.043705,0,0.148529,0.004746,0,0.1995
TTWO,CY2021Q4,Unknown,SP500,0.459289,3.043705,0,0.160576,0.148921,0,0.1995
V,CY2021Q4,Unknown,SP500,6.137536,3.043705,1,0.560844,0.140779,0,0.1995
WAT,CY2021Q4,Unknown,SP500,,3.043705,0,,,0,0.1995
WDC,CY2021Q4,Unknown,SP500,-0.163171,3.043705,0,0.116698,0.00407,0,0.1995
