ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
A,CY2024Q1,Unknown,SP500,0.959041,5.99305,0,0.195804,0.014087,0,0.198418
AAPL,CY2024Q1,Unknown,SP500,1.876016,5.99305,0,0.260443,0.023195,0,0.198418
ABBV,CY2024Q1,Unknown,SP500,-0.241014,5.99305,0,0.11121,0.053732,0,0.198418
ABNB,CY2024Q1,Unknown,SP500,-0.070229,5.99305,0,0.123249,1.164357,1,0.198418
ABT,CY2024Q1,Unknown,SP500,-0.07458,5.99305,0,0.122943,0.018633,0,0.198418
ACGL,CY2024Q1,Unknown,SP500,2.212917,5.99305,0,0.284192,0.067009,0,0.198418
ACN,CY2024Q1,Unknown,SP500,-0.31475,5.99305,0,0.106013,0.015597,0,0.198418
ADBE,CY2024Q1,Unknown,SP500,-0.121361,5.99305,0,0.119645,0.167267,0,0.198418
ADI,CY2024Q1,Unknown,SP500,0.165689,5.99305,0,0.13988,0.044362,0,0.198418
ADM,CY2024Q1,Unknown,SP500,-0.079099,5.99305,0,0.122624,0.005697,0,0.198418
ADP,CY2024Q1,Unknown,SP500,1.380911,5.99305,0,0.225542,0.037453,0,0.198418
ADSK,CY2024Q1,Unknown,SP500,0.704207,5.99305,0,0.177841,0.007402,0,0.198418
AEE,CY2024Q1,Unknown,SP500,0.228017,5.99305,0,0.144273,0.095533,0,0.198418
AEP,CY2024Q1,Unknown,SP500,0.987876,5.99305,0,0.197837,,0,0.198418
AES,CY2024Q1,Unknown,SP500,0.167858,5.99305,0,0.140032,0.072764,0,0.198418
AFL,CY2024Q1,Unknown,SP500,3.08489,5.99305,0,0.345659,,0,0.198418
AIG,CY2024Q1,Unknown,SP500,0.732031,5.99305,0,0.179802,0.165551,0,0.198418
AIZ,CY2024Q1,Unknown,SP500,-0.656184,5.99305,0,0.081944,0.013451,0,0.198418
AJG,CY2024Q1,Unknown,SP500,0.829532,5.99305,0,0.186675,0.073914,0,0.198418
AKAM,CY2024Q1,Unknown,SP500,0.696609,5.99305,0,0.177305,0.010466,0,0.198418
ALB,CY2024Q1,Unknown,SP500,-1.797809,5.99305,0,0.00147,0.129643,0,0.198418
ALGN,CY2024Q1,Unknown,SP500,-0.324634,5.99305,0,0.105316,0.020726,0,0.198418
ALL,CY2024Q1,Unknown,SP500,-0.686297,5.99305,0,0.079822,,0,0.198418
ALLE,CY2024Q1,Unknown,SP500,0.148991,5.99305,0,0.138702,0.031232,0,0.198418
AMAT,CY2024Q1,Unknown,SP500,1.857007,5.99305,0,0.259103,0.041926,0,0.198418
AMCR,CY2024Q1,Unknown,SP500,-1.040937,5.99305,0,0.054823,0.013605,0,0.198418
AMD,CY2024Q1,Unknown,SP500,-1.499838,5.99305,0,0.022474,0.029078,0,0.198418
AME,CY2024Q1,Unknown,SP500,0.722747,5.99305,0,0.179147,0.030341,0,0.198418
AMGN,CY2024Q1,Unknown,SP500,-2.033914,5.99305,0,-0.015174,0.26579,1,0.198418
AMP,CY2024Q1,Unknown,SP500,1.428566,5.99305,0,0.228902,0.014967,0,0.198418
AMT,CY2024Q1,Unknown,SP500,,5.99305,0,,,0,0.198418
AMZN,CY2024Q1,Unknown,SP500,-0.786124,5.99305,0,0.072785,0.003741,0,0.198418
ANET,CY2024Q1,Unknown,SP500,3.94247,5.99305,0,0.406111,0.044944,0,0.198418
AON,CY2024Q1,Unknown,SP500,1.914344,5.99305,0,0.263145,0.108726,0,0.198418
AOS,CY2024Q1,Unknown,SP500,0.325923,5.99305,0,0.151175,0.007251,0,0.198418
APD,CY2024Q1,Unknown,SP500,0.95078,5.99305,0,0.195222,0.007981,0,0.198418
APH,CY2024Q1,Unknown,SP500,0.573287,5.99305,0,0.168612,0.007937,0,0.198418
APO,CY2024Q1,Unknown,SP500,1.05685,5.99305,0,0.202699,0.060114,0,0.198418
APP,CY2024Q1,Unknown,SP500,1.345729,5.99305,0,0.223062,0.096905,0,0.198418
APTV,CY2024Q1,Unknown,SP500,-1.187648,5.99305,0,0.044481,,0,0.198418
ARE,CY2024Q1,Unknown,SP500,1.33586,5.99305,0,0.222367,0.188753,0,0.198418
ARES,CY2024Q1,Unknown,SP500,-0.353896,5.99305,0,0.103253,,0,0.198418
ATO,CY2024Q1,Unknown,SP500,1.902287,5.99305,0,0.262295,0.006271,0,0.198418
AVB,CY2024Q1,Unknown,SP500,7.985442,5.99305,1,86.5,,0,0.198418
AVGO,CY2024Q1,Unknown,SP500,0.590947,5.99305,0,0.169857,0.05908,0,0.198418
AVY,CY2024Q1,Unknown,SP500,-0.684296,5.99305,0,0.079963,0.014186,0,0.198418
AXON,CY2024Q1,Unknown,SP500,2.282976,5.99305,0,0.28913,0.156572,0,0.198418
AXP,CY2024Q1,Unknown,SP500,1.883188,5.99305,0,0.260949,0.000436,0,0.198418
AZO,CY2024Q1,Unknown,SP500,0.365367,5.99305,0,0.153955,0.020501,0,0.198418
BA,CY2024Q1,Unknown,SP500,-2.112327,5.99305,0,-0.020701,0.069665,0,0.198418
BAC,CY2024Q1,Unknown,SP500,1.848476,5.99305,0,0.258502,0.051507,0,0.198418
BALL,CY2024Q1,Unknown,SP500,7.985442,5.99305,1,1.282533,1.229484,1,0.198418
BAX,CY2024Q1,Unknown,SP500,-1.607858,5.99305,0,0.014859,0.074917,0,0.198418
BBY,CY2024Q1,Unknown,SP500,-1.424197,5.99305,0,0.027806,0.000848,0,0.198418
BDX,CY2024Q1,Unknown,SP500,-0.308659,5.99305,0,0.106442,0.046731,0,0.198418
BEN,CY2024Q1,Unknown,SP500,-1.001621,5.99305,0,0.057594,0.068473,0,0.198418
BG,CY2024Q1,Unknown,SP500,-0.941017,5.99305,0,0.061866,0.023783,0,0.198418
BIIB,CY2024Q1,Unknown,SP500,0.614839,5.99305,0,0.171541,0.198418,0,0.198418
BKNG,CY2024Q1,Unknown,SP500,,5.99305,0,,,0,0.198418
BKR,CY2024Q1,Unknown,SP500,-0.812942,5.99305,0,0.070894,0.007106,0,0.198418
BLDR,CY2024Q1,Unknown,SP500,-0.874374,5.99305,0,0.066564,0.032907,0,0.198418
BLK,CY2024Q1,Unknown,SP500,2.901042,5.99305,0,0.332699,0.022011,0,0.198418
BMY,CY2024Q1,Unknown,SP500,-7.985442,5.99305,0,-1.003877,1.179693,1,0.198418
BR,CY2024Q1,Unknown,SP500,-0.060796,5.99305,0,0.123914,0.074092,0,0.198418
BRK.B,CY2024Q1,Unknown,SP500,1.121283,5.99305,0,0.207241,0.403063,1,0.198418
BRO,CY2024Q1,Unknown,SP500,1.485419,5.99305,0,0.232909,0.068115,0,0.198418
BSX,CY2024Q1,Unknown,SP500,-0.004925,5.99305,0,0.127853,0.015045,0,0.198418
BX,CY2024Q1,Unknown,SP500,1.439377,5.99305,0,0.229664,0.012426,0,0.198418
