ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
ABBV,CY2021Q3,Unknown,SP500,1.325787,5.977971,0,0.221657,0.166782,0,0.308787
ABNB,CY2021Q3,Unknown,SP500,3.470215,5.977971,0,0.372821,0.423757,1,0.308787
ABT,CY2021Q3,Unknown,SP500,0.907442,5.977971,0,0.192167,0.075861,0,0.308787
ACGL,CY2021Q3,Unknown,SP500,1.017213,5.977971,0,0.199905,0.062741,0,0.308787
ACN,CY2021Q3,Unknown,SP500,-0.32171,5.977971,0,0.105522,0.01126,0,0.308787
ADBE,CY2021Q3,Unknown,SP500,2.550734,5.977971,0,0.308005,0.017001,0,0.308787
ADM,CY2021Q3,Unknown,SP500,-1.451798,5.977971,0,0.02586,0.005196,0,0.308787
ADP,CY2021Q3,Unknown,SP500,0.776452,5.977971,0,0.182933,0.014775,0,0.308787
ADSK,CY2021Q3,Unknown,SP500,-0.092639,5.977971,0,0.12167,0.013179,0,0.308787
AEE,CY2021Q3,Unknown,SP500,1.518328,5.977971,0,0.235229,0.093925,0,0.308787
AES,CY2021Q3,Unknown,SP500,-0.215945,5.977971,0,0.112978,0.102607,0,0.308787
AFL,CY2021Q3,Unknown,SP500,0.586777,5.977971,0,0.169563,0.029035,0,0.308787
AIG,CY2021Q3,Unknown,SP500,0.023824,5.977971,0,0.129879,0.12061,0,0.308787
AIZ,CY2021Q3,Unknown,SP500,2.913628,5.977971,0,0.333586,0.252547,0,0.308787
AJG,CY2021Q3,Unknown,SP500,-0.325732,5.977971,0,0.105239,0.006997,0,0.308787
AKAM,CY2021Q3,Unknown,SP500,1.134032,5.977971,0,0.20814,0.025256,0,0.308787
ALB,CY2021Q3,Unknown,SP500,-7.985442,5.977971,0,-0.472924,1.02202,1,0.308787
ALGN,CY2021Q3,Unknown,SP500,0.708592,5.977971,0,0.17815,0.019674,0,0.308787
ALL,CY2021Q3,Unknown,SP500,-1.207108,5.977971,0,0.043109,0.08539,0,0.308787
