ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
A,CY2022Q1,Unknown,SP500,0.600131,5.703624,0,0.170504,0.001448,0,0.247392
AAPL,CY2022Q1,Unknown,SP500,1.828564,5.703624,0,0.257098,0.0223,0,0.247392
ABBV,CY2022Q1,Unknown,SP500,2.886291,5.703624,0,0.331659,0.059994,0,0.247392
ABNB,CY2022Q1,Unknown,SP500,-1.997275,5.703624,0,-0.012591,0.385412,1,0.247392
ABT,CY2022Q1,Unknown,SP500,1.099661,5.703624,0,0.205717,0.01355,0,0.247392
ACGL,CY2022Q1,Unknown,SP500,-0.386897,5.703624,0,0.100927,0.098978,0,0.247392
ACN,CY2022Q1,Unknown,SP500,-0.277201,5.703624,0,0.10866,0.01102,0,0.247392
ADBE,CY2022Q1,Unknown,SP500,2.395234,5.703624,0,0.297044,0.010961,0,0.247392
ADI,CY2022Q1,Unknown,SP500,1.918798,5.703624,0,0.263459,0.159137,0,0.247392
ADM,CY2022Q1,Unknown,SP500,-1.18643,5.703624,0,0.044567,0.018706,0,0.247392
ADP,CY2022Q1,Unknown,SP500,1.101549,5.703624,0,0.20585,0.033427,0,0.247392
ADSK,CY2022Q1,Unknown,SP500,-0.048425,5.703624,0,0.124786,0.003117,0,0.247392
AEE,CY2022Q1,Unknown,SP500,0.091447,5.703624,0,0.134646,0.100583,0,0.247392
AES,CY2022Q1,Unknown,SP500,-1.246636,5.703624,0,0.040323,0.268481,1,0.247392
AFL,CY2022Q1,Unknown,SP500,1.052568,5.703624,0,0.202397,0.032834,0,0.247392
AIG,CY2022Q1,Unknown,SP500,2.142705,5.703624,0,0.279243,0.149363,0,0.247392
AIZ,CY2022Q1,Unknown,SP500,-0.967376,5.703624,0,0.060008,,0,0.247392
AJG,CY2022Q1,Unknown,SP500,0.73892,5.703624,0,0.180287,0.075049,0,0.247392
AKAM,CY2022Q1,Unknown,SP500,0.268458,5.703624,0,0.147124,0.030777,0,0.247392
ALB,CY2022Q1,Unknown,SP500,1.363155,5.703624,0,0.224291,0.697215,1,0.247392
ALGN,CY2022Q1,Unknown,SP500,0.135031,5.703624,0,0.137718,0.040431,0,0.247392
ALL,CY2022Q1,Unknown,SP500,-1.059672,5.703624,0,0.053502,,0,0.247392
ALLE,CY2022Q1,Unknown,SP500,0.003591,5.703624,0,0.128453,0.072384,0,0.247392
AMAT,CY2022Q1,Unknown,SP500,1.670511,5.703624,0,0.245957,0.039803,0,0.247392
AMCR,CY2022Q1,Unknown,SP500,-0.789513,5.703624,0,0.072546,0.008388,0,0.247392
AMD,CY2022Q1,Unknown,SP500,0.075394,5.703624,0,0.133515,0.08049,0,0.247392
AME,CY2022Q1,Unknown,SP500,0.826045,5.703624,0,0.186429,0.008081,0,0.247392
AMGN,CY2022Q1,Unknown,SP500,1.537977,5.703624,0,0.236614,0.044328,0,0.247392
AMP,CY2022Q1,Unknown,SP500,1.408124,5.703624,0,0.227461,0.09163,0,0.247392
AMT,CY2022Q1,Unknown,SP500,7.985442,5.703624,1,3.406699,0.120131,0,0.247392
AMZN,CY2022Q1,Unknown,SP500,-2.286961,5.703624,0,-0.033012,0.061492,0,0.247392
ANET,CY2022Q1,Unknown,SP500,2.581137,5.703624,0,0.310148,0.011083,0,0.247392
AON,CY2022Q1,Unknown,SP500,2.13567,5.703624,0,0.278747,0.611833,1,0.247392
AOS,CY2022Q1,Unknown,SP500,-0.07803,5.703624,0,0.122699,0.021563,0,0.247392
APD,CY2022Q1,Unknown,SP500,0.739177,5.703624,0,0.180306,0.006735,0,0.247392
APH,CY2022Q1,Unknown,SP500,0.228525,5.703624,0,0.144309,0.007163,0,0.247392
APO,CY2022Q1,Unknown,SP500,-7.985442,5.703624,0,-0.465197,0.704529,1,0.247392
APP,CY2022Q1,Unknown,SP500,-4.428897,5.703624,0,-0.184,0.184,0,0.247392
ARE,CY2022Q1,Unknown,SP500,-5.278679,5.703624,0,-0.243902,0.431859,1,0.247392
ARES,CY2022Q1,Unknown,SP500,-0.905984,5.703624,0,0.064336,0.025232,0,0.247392
ATO,CY2022Q1,Unknown,SP500,0.975575,5.703624,0,0.19697,0.048835,0,0.247392
AVB,CY2022Q1,Unknown,SP500,,5.703624,0,,,0,0.247392
AVGO,CY2022Q1,Unknown,SP500,2.715713,5.703624,0,0.319635,0.001154,0,0.247392
AVY,CY2022Q1,Unknown,SP500,-0.622893,5.703624,0,0.084291,0.005141,0,0.247392
AXON,CY2022Q1,Unknown,SP500,1.229138,5.703624,0,0.214844,0.003637,0,0.247392
AXP,CY2022Q1,Unknown,SP500,2.078807,5.703624,0,0.274738,0.018924,0,0.247392
AZO,CY2022Q1,Unknown,SP500,0.357891,5.703624,0,0.153428,0.002161,0,0.247392
BA,CY2022Q1,Unknown,SP500,-3.054654,5.703624,0,-0.087127,0.079993,0,0.247392
BAC,CY2022Q1,Unknown,SP500,2.497391,5.703624,0,0.304245,0.033583,0,0.247392
BALL,CY2022Q1,Unknown,SP500,-0.112201,5.703624,0,0.120291,0.069911,0,0.247392
BAX,CY2022Q1,Unknown,SP500,-1.535572,5.703624,0,0.019955,0.119537,0,0.247392
BBY,CY2022Q1,Unknown,SP500,-1.364306,5.703624,0,0.032028,0.00987,0,0.247392
BDX,CY2022Q1,Unknown,SP500,-0.462764,5.703624,0,0.095579,0.047914,0,0.247392
BEN,CY2022Q1,Unknown,SP500,0.567281,5.703624,0,0.168188,0.035499,0,0.247392
BIIB,CY2022Q1,Unknown,SP500,-0.115428,5.703624,0,0.120063,0.001675,0,0.247392
BKNG,CY2022Q1,Unknown,SP500,,5.703624,0,,,0,0.247392
BKR,CY2022Q1,Unknown,SP500,-1.607405,5.703624,0,0.014891,0.013321,0,0.247392
BLDR,CY2022Q1,Unknown,SP500,-0.220504,5.703624,0,0.112656,0.001384,0,0.247392
BMY,CY2022Q1,Unknown,SP500,-0.26218,5.703624,0,0.109718,0.023282,0,0.247392
BR,CY2022Q1,Unknown,SP500,-0.181799,5.703624,0,0.115385,0.078083,0,0.247392
BRK.B,CY2022Q1,Unknown,SP500,-0.217102,5.703624,0,0.112896,0.098146,0,0.247392
BRO,CY2022Q1,Unknown,SP500,1.629898,5.703624,0,0.243094,0.053484,0,0.247392
BSX,CY2022Q1,Unknown,SP500,-1.302968,5.703624,0,0.036352,0.106554,0,0.247392
BX,CY2022Q1,Unknown,SP500,1.549366,5.703624,0,0.237417,0.01216,0,0.247392
BXP,CY2022Q1,Unknown,SP500,0.871811,5.703624,0,0.189655,0.04171,0,0.247392
C,CY2022Q1,Unknown,SP500,1.365193,5.703624,0,0.224434,0.037974,0,0.247392
CAG,CY2022Q1,Unknown,SP500,-0.757376,5.703624,0,0.074811,0.015414,0,0.247392
CAH,CY2022Q1,Unknown,SP500,-2.258768,5.703624,0,-0.031024,0.032102,0,0.247392
CARR,CY2022Q1,Unknown,SP500,,5.703624,0,,,0,0.247392
CAT,CY2022Q1,Unknown,SP500,-0.214121,5.703624,0,0.113106,0.002083,0,0.247392
CB,CY2022Q1,Unknown,SP500,1.058039,5.703624,0,0.202783,0.033765,0,0.247392
CBOE,CY2022Q1,Unknown,SP500,-0.218173,5.703624,0,0.112821,0.034058,0,0.247392
CBRE,CY2022Q1,Unknown,SP500,-1.042854,5.703624,0,0.054688,0.011064,0,0.247392
CCI,CY2022Q1,Unknown,SP500,7.985442,5.703624,1,2.536145,,0,0.247392
CCL,CY2022Q1,Unknown,SP500,-7.985442,5.703624,0,-1.165126,4.029013,1,0.247392
CDNS,CY2022Q1,Unknown,SP500,1.877278,5.703624,0,0.260532,0.026178,0,0.247392
CDW,CY2022Q1,Unknown,SP500,-1.222501,5.703624,0,0.042024,0.008353,0,0.247392
CF,CY2022Q1,Unknown,SP500,3.379945,5.703624,0,0.366457,0.433271,1,0.247392
CFG,CY2022Q1,Unknown,SP500,7.985442,5.703624,1,1.4,0.326384,1,0.247392
CHD,CY2022Q1,Unknown,SP500,0.412619,5.703624,0,0.157286,0.018153,0,0.247392
CHRW,CY2022Q1,Unknown,SP500,-1.256707,5.703624,0,0.039613,0.000181,0,0.247392
CHTR,CY2022Q1,Unknown,SP500,-0.525787,5.703624,0,0.091136,0.001439,0,0.247392
CI,CY2022Q1,Unknown,SP500,-1.427947,5.703624,0,0.027542,0.009376,0,0.247392
CIEN,CY2022Q1,Unknown,SP500,-1.235666,5.703624,0,0.041096,0.013406,0,0.247392
CINF,CY2022Q1,Unknown,SP500,-4.916769,5.703624,0,-0.218391,0.304105,1,0.247392
CL,CY2022Q1,Unknown,SP500,-0.015967,5.703624,0,0.127074,0.01656,0,0.247392
CLX,CY2022Q1,Unknown,SP500,-0.642363,5.703624,0,0.082919,0.042114,0,0.247392
CME,CY2022Q1,Unknown,SP500,5.669328,5.703624,0,0.52784,0.307295,1,0.247392
CMG,CY2022Q1,Unknown,SP500,-0.709599,5.703624,0,0.078179,0.026329,0,0.247392
CMI,CY2022Q1,Unknown,SP500,-0.878841,5.703624,0,0.066249,0.024401,0,0.247392
CMS,CY2022Q1,Unknown,SP500,0.341694,5.703624,0,0.152286,0.039181,0,0.247392
CNC,CY2022Q1,Unknown,SP500,-1.466821,5.703624,0,0.024801,0.005663,0,0.247392
CNP,CY2022Q1,Unknown,SP500,0.883215,5.703624,0,0.190459,0.065172,0,0.247392
COF,CY2022Q1,Unknown,SP500,7.985442,5.703624,1,1.948905,0.53231,1,0.247392
COHR,CY2022Q1,Unknown,SP500,-0.97914,5.703624,0,0.059179,0.025084,0,0.247392
COIN,CY2022Q1,Unknown,SP500,-7.050235,5.703624,0,-0.368782,0.678233,1,0.247392
COO,CY2022Q1,Unknown,SP500,0.351988,5.703624,0,0.153012,0.0323,0,0.247392
COP,CY2022Q1,Unknown,SP500,3.81334,5.703624,0,0.397008,0.129103,0,0.247392
COR,CY2022Q1,Unknown,SP500,-1.683969,5.703624,0,0.009494,0.001964,0,0.247392
COST,CY2022Q1,Unknown,SP500,-1.453727,5.703624,0,0.025724,0.000565,0,0.247392
CPAY,CY2022Q1,Unknown,SP500,2.10095,5.703624,0,0.276299,0.00425,0,0.247392
CPB,CY2022Q1,Unknown,SP500,-0.56655,5.703624,0,0.088263,0.007708,0,0.247392
CPRT,CY2022Q1,Unknown,SP500,2.391898,5.703624,0,0.296809,0.034218,0,0.247392
CPT,CY2022Q1,Unknown,SP500,7.985442,5.703624,1,40.5,30.833333,1,0.247392
CRL,CY2022Q1,Unknown,SP500,-0.375213,5.703624,0,0.101751,0.013205,0,0.247392
CRM,CY2022Q1,Unknown,SP500,-1.765058,5.703624,0,0.003778,0.064414,0,0.247392
CRWD,CY2022Q1,Unknown,SP500,-2.748892,5.703624,0,-0.065574,0.066005,0,0.247392
CSCO,CY2022Q1,Unknown,SP500,1.545776,5.703624,0,0.237164,0.003438,0,0.247392
CSGP,CY2022Q1,Unknown,SP500,0.628171,5.703624,0,0.172481,0.044224,0,0.247392
CSX,CY2022Q1,Unknown,SP500,1.751768,5.703624,0,0.251685,0.020857,0,0.247392
CTAS,CY2022Q1,Unknown,SP500,0.46009,5.703624,0,0.160632,0.007146,0,0.247392
CTRA,CY2022Q1,Unknown,SP500,2.348082,5.703624,0,0.29372,0.193876,0,0.247392
CTSH,CY2022Q1,Unknown,SP500,-0.163709,5.703624,0,0.11666,0.001989,0,0.247392
CTVA,CY2022Q1,Unknown,SP500,-0.079695,5.703624,0,0.122582,0.109929,0,0.247392
CVNA,CY2022Q1,Unknown,SP500,-2.873384,5.703624,0,-0.074349,0.065154,0,0.247392
CVS,CY2022Q1,Unknown,SP500,-1.383984,5.703624,0,0.030641,0.008986,0,0.247392
CVX,CY2022Q1,Unknown,SP500,-0.12139,5.703624,0,0.119643,0.02397,0,0.247392
D,CY2022Q1,Unknown,SP500,1.032634,5.703624,0,0.200992,0.010543,0,0.247392
DAL,CY2022Q1,Unknown,SP500,-3.245157,5.703624,0,-0.100556,0.232957,0,0.247392
DASH,CY2022Q1,Unknown,SP500,-3.44577,5.703624,0,-0.114698,0.035482,0,0.247392
DD,CY2022Q1,Unknown,SP500,0.295826,5.703624,0,0.149053,0.026827,0,0.247392
DDOG,CY2022Q1,Unknown,SP500,-1.427854,5.703624,0,0.027548,0.046067,0,0.247392
DE,CY2022Q1,Unknown,SP500,0.407405,5.703624,0,0.156918,0.062551,0,0.247392
DECK,CY2022Q1,Unknown,SP500,-0.488709,5.703624,0,0.09375,0.102378,0,0.247392
DELL,CY2022Q1,Unknown,SP500,-1.23635,5.703624,0,0.041048,0.040976,0,0.247392
DG,CY2022Q1,Unknown,SP500,-0.922197,5.703624,0,0.063193,0.00602,0,0.247392
