ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
A,CY2023Q1,Unknown,SP500,0.676511,5.940538,0,0.175888,0.024567,0,0.291568
AAPL,CY2023Q1,Unknown,SP500,1.795331,5.940538,0,0.254756,0.001301,0,0.291568
ABBV,CY2023Q1,Unknown,SP500,-1.541316,5.940538,0,0.01955,0.143997,0,0.291568
ABNB,CY2023Q1,Unknown,SP500,-0.905689,5.940538,0,0.064356,0.356587,1,0.291568
ABT,CY2023Q1,Unknown,SP500,0.099604,5.940538,0,0.135221,0.002627,0,0.291568
ACGL,CY2023Q1,Unknown,SP500,1.383067,5.940538,0,0.225694,0.21857,0,0.291568
ACN,CY2023Q1,Unknown,SP500,-0.451537,5.940538,0,0.09637,0.028407,0,0.291568
ADBE,CY2023Q1,Unknown,SP500,1.981572,5.940538,0,0.267884,0.011624,0,0.291568
ADI,CY2023Q1,Unknown,SP500,2.43326,5.940538,0,0.299724,0.004032,0,0.291568
ADM,CY2023Q1,Unknown,SP500,-1.129152,5.940538,0,0.048604,0.006835,0,0.291568
ADP,CY2023Q1,Unknown,SP500,1.183799,5.940538,0,0.211648,0.026496,0,0.291568
ADSK,CY2023Q1,Unknown,SP500,-0.018844,5.940538,0,0.126872,0.027816,0,0.291568
AEE,CY2023Q1,Unknown,SP500,0.004485,5.940538,0,0.128516,0.067928,0,0.291568
AES,CY2023Q1,Unknown,SP500,-1.15731,5.940538,0,0.046619,0.341717,1,0.291568
AFL,CY2023Q1,Unknown,SP500,1.692403,5.940538,0,0.2475,,0,0.291568
AIG,CY2023Q1,Unknown,SP500,-1.755221,5.940538,0,0.004472,0.191842,0,0.291568
AIZ,CY2023Q1,Unknown,SP500,-1.20677,5.940538,0,0.043133,,0,0.291568
AJG,CY2023Q1,Unknown,SP500,0.734422,5.940538,0,0.17997,0.054726,0,0.291568
AKAM,CY2023Q1,Unknown,SP500,-0.316416,5.940538,0,0.105895,0.033113,0,0.291568
ALB,CY2023Q1,Unknown,SP500,4.993969,5.940538,0,0.480233,0.051456,0,0.291568
ALGN,CY2023Q1,Unknown,SP500,-0.494821,5.940538,0,0.093319,0.011297,0,0.291568
ALL,CY2023Q1,Unknown,SP500,-2.147943,5.940538,0,-0.023212,,0,0.291568
ALLE,CY2023Q1,Unknown,SP500,0.087169,5.940538,0,0.134345,0.008524,0,0.291568
AMAT,CY2023Q1,Unknown,SP500,1.551344,5.940538,0,0.237557,0.017229,0,0.291568
