ticker,quarter,sector,index,z_Q,s_star,above_threshold,Q_raw,delta_Q,extreme_event,extreme_threshold_90
A,CY2023Q2,Unknown,SP500,-0.876875,6.065133,0,0.066388,0.109501,0,0.151344
AAPL,CY2023Q2,Unknown,SP500,1.629316,6.065133,0,0.243053,0.011703,0,0.151344
ABBV,CY2023Q2,Unknown,SP500,0.252218,6.065133,0,0.145979,0.126429,0,0.151344
ABNB,CY2023Q2,Unknown,SP500,1.893487,6.065133,0,0.261675,0.197318,1,0.151344
ABT,CY2023Q2,Unknown,SP500,0.136233,6.065133,0,0.137803,0.002582,0,0.151344
ACGL,CY2023Q2,Unknown,SP500,1.19174,6.065133,0,0.212207,0.013487,0,0.151344
ACN,CY2023Q2,Unknown,SP500,-0.097312,6.065133,0,0.12134,0.02497,0,0.151344
ADBE,CY2023Q2,Unknown,SP500,1.995919,6.065133,0,0.268895,0.001011,0,0.151344
ADI,CY2023Q2,Unknown,SP500,2.22595,6.065133,0,0.285111,0.014614,0,0.151344
ADM,CY2023Q2,Unknown,SP500,-1.296603,6.065133,0,0.0368,0.011804,0,0.151344
ADSK,CY2023Q2,Unknown,SP500,0.522841,6.065133,0,0.165056,0.038184,0,0.151344
AEE,CY2023Q2,Unknown,SP500,0.107752,6.065133,0,0.135795,0.007279,0,0.151344
AES,CY2023Q2,Unknown,SP500,-2.00143,6.065133,0,-0.012884,0.059503,0,0.151344
AFL,CY2023Q2,Unknown,SP500,2.663185,6.065133,0,0.315932,0.068432,0,0.151344
AIG,CY2023Q2,Unknown,SP500,1.029628,6.065133,0,0.20078,0.196308,1,0.151344
AIZ,CY2023Q2,Unknown,SP500,-1.008615,6.065133,0,0.057101,0.013968,0,0.151344
AJG,CY2023Q2,Unknown,SP500,-0.453491,6.065133,0,0.096233,0.083738,0,0.151344
AKAM,CY2023Q2,Unknown,SP500,0.136479,6.065133,0,0.137821,0.031925,0,0.151344
ALB,CY2023Q2,Unknown,SP500,2.072046,6.065133,0,0.274262,0.205971,1,0.151344
ALGN,CY2023Q2,Unknown,SP500,-0.232984,6.065133,0,0.111776,0.018457,0,0.151344
ALL,CY2023Q2,Unknown,SP500,-3.190685,6.065133,0,-0.096717,0.073505,0,0.151344
ALLE,CY2023Q2,Unknown,SP500,0.387725,6.065133,0,0.155531,0.021187,0,0.151344
AMAT,CY2023Q2,Unknown,SP500,1.62575,6.065133,0,0.242802,0.005245,0,0.151344
AMD,CY2023Q2,Unknown,SP500,-1.747183,6.065133,0,0.005038,0.031005,0,0.151344
