ticker,quarter,sector,v12_flag,raw_margin,delta_Q_abs,extreme_event
ADAM,CY2024Q4,Real Estate,1,-2.007294,4.550851,1
ARR,CY2024Q4,Real Estate,1,-3.904589,38.099804,1
ARWR,CY2024Q4,Health Care,1,-69.234,31.818061,1
AVNS,CY2024Q4,Health Care,1,2.212138,2.237373,1
BLKB,CY2024Q4,Information Technology,1,-1.094835,1.158653,1
CAR,CY2024Q4,Consumer Discretionary,1,-0.722509,0.790613,1
CCI,CY2024Q4,Real Estate,1,-8.757819,9.045319,1
CE,CY2024Q4,Materials,1,-0.81637,0.859044,1
CLSK,CY2024Q4,Information Technology,1,1.488854,2.185354,1
CNX,CY2024Q4,Energy,1,-1.058911,1.213409,1
CPRI,CY2024Q4,Consumer Discretionary,1,-0.512172,0.539507,1
CRGY,CY2024Q4,Utilities,1,-0.25346,0.251832,0
CYTK,CY2024Q4,Health Care,1,-8.862764,337.886696,1
DCOM,CY2024Q4,Financials,1,-0.510868,0.662345,1
DOV,CY2024Q4,Industrials,1,0.744084,0.569094,1
DT,CY2024Q4,Information Technology,1,0.829385,0.724135,1
ECPG,CY2024Q4,Consumer Discretionary,1,-0.848234,0.931714,1
FIBK,CY2024Q4,Financials,1,3.917293,3.678172,1
FLG,CY2024Q4,Financials,1,-0.385827,0.372703,1
FR,CY2024Q4,Real Estate,1,0.779057,0.405888,1
FUN,CY2024Q4,Consumer Discretionary,1,-0.38442,0.466716,1
HASI,CY2024Q4,Energy,1,0.705863,0.94884,1
HOOD,CY2024Q4,Financials,1,0.903353,0.667874,1
HRB,CY2024Q4,Consumer Discretionary,1,-1.359357,0.468918,1
INCR,CY2024Q4,Industrials,1,-0.612031,0.623428,1
JXN,CY2024Q4,Financials,1,1.484444,1.710753,1
MAC,CY2024Q4,Real Estate,1,-0.771752,0.280484,1
MARA,CY2024Q4,Information Technology,1,2.465218,3.413124,1
MO,CY2024Q4,Consumer Staples,1,0.595182,0.166103,0
MPWR,CY2024Q4,Information Technology,1,2.331421,2.098514,1
MTN,CY2024Q4,Consumer Discretionary,1,-0.665661,0.007462,0
MTSI,CY2024Q4,Information Technology,1,-0.790127,0.967567,1
