ticker,quarter,sector,v12_flag,raw_margin,delta_Q_abs,extreme_event
ADAM,CY2024Q1,Real Estate,1,-45.742972,48.891991,1
ARI,CY2024Q1,Real Estate,1,-1.335966,1.852549,1
ARR,CY2024Q1,Real Estate,1,2.161133,14.606043,1
BANC,CY2024Q1,Financials,1,0.082655,0.335276,1
BHF,CY2024Q1,Financials,1,-7.013514,6.340656,1
CCOI,CY2024Q1,Communication Services,1,-0.24536,0.980946,1
CENX,CY2024Q1,Materials,1,0.504188,0.404051,1
COIN,CY2024Q1,Financials,1,0.717819,0.431261,1
CPRI,CY2024Q1,Consumer Discretionary,1,-0.385936,0.459517,1
CRC,CY2024Q1,Utilities,1,-0.294562,0.502838,1
CYTK,CY2024Q1,Health Care,1,-162.446707,80.571109,1
FLG,CY2024Q1,Financials,1,-1.053459,7.559239,1
FR,CY2024Q1,Real Estate,1,0.843393,0.290563,1
FUN,CY2024Q1,Consumer Discretionary,1,-1.313458,1.286639,1
HASI,CY2024Q1,Energy,1,1.18528,0.156312,0
HRB,CY2024Q1,Consumer Discretionary,1,0.316151,1.375743,1
JBLU,CY2024Q1,Industrials,1,-0.324129,0.279827,1
KLIC,CY2024Q1,Materials,1,-0.59672,0.651005,1
MAC,CY2024Q1,Real Estate,1,-0.606984,0.867488,1
MARA,CY2024Q1,Information Technology,1,2.041023,0.352513,1
MLM,CY2024Q1,Materials,1,0.835332,0.659337,1
MP,CY2024Q1,Materials,1,0.338694,0.733282,1
MPT,CY2024Q1,Health Care,1,-3.227325,3.608014,1
MRNA,CY2024Q1,Health Care,1,-7.035928,7.113125,1
MXL,CY2024Q1,Information Technology,1,-0.777493,0.437406,1
NLY,CY2024Q1,Real Estate,1,0.846918,0.24582,0
PANW,CY2024Q1,Information Technology,1,0.884462,0.781059,1
PAYC,CY2024Q1,Industrials,1,0.494499,0.31509,1
PRSU,CY2024Q1,Consumer Discretionary,1,-0.674626,0.622013,1
QDEL,CY2024Q1,Information Technology,1,-2.399437,2.408864,1
ROIV,CY2024Q1,Health Care,1,-16.753326,344.229486,1
RUN,CY2024Q1,Industrials,1,-0.191664,0.486096,1
SCHL,CY2024Q1,Publishing,1,-0.081866,0.218553,0
SDGR,CY2024Q1,Health Care,1,-1.495273,1.081518,1
SEDG,CY2024Q1,Materials,1,-0.768179,0.255488,1
SF,CY2024Q1,Financials,1,-0.168827,0.302434,1
SHEN,CY2024Q1,Communication Services,1,3.100393,3.06227,1
SITM,CY2024Q1,Information Technology,1,-0.869239,0.397621,1
SMTC,CY2024Q1,Information Technology,1,-3.330031,3.139637,1
SPHR,CY2024Q1,Communication Services,1,-0.147014,0.404456,1
TTWO,CY2024Q1,Communication Services,1,-2.07446,2.007418,1
XNCR,CY2024Q1,Health Care,1,-4.590861,4.216082,1
A,CY2024Q1,Health Care,0,0.209891,0.071507,0
AA,CY2024Q1,Materials,0,0.132675,0.241857,0
AAL,CY2024Q1,Industrials,0,-0.024821,0.026276,0
AAMI,CY2024Q1,Financials,0,0.138127,0.035654,0
AAON,CY2024Q1,Industrials,0,0.14886,0.004575,0
AAPL,CY2024Q1,Information Technology,0,0.260443,0.023195,0
AAT,CY2024Q1,Real Estate,0,0.173992,0.08082,0
