ticker,quarter,sector,v12_flag,raw_margin,delta_Q_abs,extreme_event
ADAM,CY2022Q3,Real Estate,1,-83.220877,78.010241,1
ADEA,CY2022Q3,Information Technology,1,-4.355454,4.303282,1
AKR,CY2022Q3,Consumer Discretionary,1,-0.699109,0.694671,1
APLS,CY2022Q3,Health Care,1,-8.671971,0.884272,1
ARI,CY2022Q3,Real Estate,1,2.35858,1.465582,1
ARR,CY2022Q3,Real Estate,1,-4.969135,3.229635,1
CCL,CY2022Q3,Consumer Discretionary,1,-0.178862,0.584987,1
CELH,CY2022Q3,Consumer Staples,1,-0.990751,1.050211,1
CHRD,CY2022Q3,Utilities,1,0.741688,0.575939,1
CLSK,CY2022Q3,Information Technology,1,-1.616246,0.670679,1
CNX,CY2022Q3,Energy,1,-3.648286,3.727628,1
COIN,CY2022Q3,Financials,1,-0.92258,0.430408,1
CRGY,CY2022Q3,Utilities,1,1.147267,0.586662,1
CYTK,CY2022Q3,Health Care,1,-56.584493,56.361716,1
ENR,CY2022Q3,Consumer Staples,1,-0.459135,0.531113,1
ETSY,CY2022Q3,Consumer Discretionary,1,-1.620047,1.745015,1
EVTC,CY2022Q3,Information Technology,1,0.945207,0.736022,1
FR,CY2022Q3,Real Estate,1,1.772069,0.872478,1
GFF,CY2022Q3,Industrials,1,-1.199544,1.382166,1
HCI,CY2022Q3,Financials,1,-0.406643,0.33881,1
HOOD,CY2022Q3,Financials,1,-0.484765,0.442908,1
HRB,CY2022Q3,Consumer Discretionary,1,-0.93575,1.147834,1
IFF,CY2022Q3,Materials,1,-0.717271,0.749626,1
ILMN,CY2022Q3,Health Care,1,-3.422422,2.962008,1
INVA,CY2022Q3,Health Care,1,3.947886,3.93921,1
MARA,CY2022Q3,Information Technology,1,-5.710165,2.821151,1
MSGS,CY2022Q3,Communication Services,1,-0.739757,0.894935,1
MTN,CY2022Q3,Consumer Discretionary,1,-0.406856,0.723472,1
MTSI,CY2022Q3,Information Technology,1,-0.933284,1.154509,1
NCLH,CY2022Q3,Consumer Discretionary,1,-0.182849,0.246168,1
NOG,CY2022Q3,Energy,1,0.733736,0.194393,1
PSA,CY2022Q3,Real Estate,1,2.492495,1.907849,1
RNG,CY2022Q3,Information Technology,1,-0.559132,0.231516,1
RNR,CY2022Q3,Financials,1,-0.64154,0.266773,1
ROIV,CY2022Q3,Health Care,1,-23.265778,53.559644,1
SM,CY2022Q3,Utilities,1,0.576024,0.249964,1
SMG,CY2022Q3,Materials,1,-0.445615,0.071363,0
STZ,CY2022Q3,Consumer Staples,1,-0.433581,0.5984,1
TGTX,CY2022Q3,Health Care,1,-381.042553,312.8439,1
UNIT,CY2022Q3,Communication Services,1,-0.550718,0.738594,1
VRE,CY2022Q3,Real Estate,1,-1.603199,2.093286,1
WT,CY2022Q3,Financials,1,1.121731,1.01811,1
A,CY2022Q3,Health Care,0,0.191502,0.020998,0
AA,CY2022Q3,Materials,0,0.055129,0.050399,0
AAL,CY2022Q3,Industrials,0,0.035879,0.000415,0
AAMI,CY2022Q3,Financials,0,0.205069,0.094407,0
AAON,CY2022Q3,Industrials,0,0.113242,0.036877,0
AAP,CY2022Q3,Consumer Discretionary,0,0.054176,0.012747,0
AAPL,CY2022Q3,Information Technology,0,0.22986,0.004496,0
AAT,CY2022Q3,Real Estate,0,0.115039,0.013441,0
ABBV,CY2022Q3,Health Care,0,0.266608,0.203247,1
ABCB,CY2022Q3,Financials,0,0.355089,0.009055,0
ABG,CY2022Q3,Consumer Discretionary,0,0.053028,0.002042,0
ABM,CY2022Q3,Industrials,0,0.028959,0.003245,0
