ticker,quarter,sector,v12_flag,raw_margin,delta_Q_abs,extreme_event
AL,CY2022Q1,Industrials,1,-0.8462,1.098688,1
APLS,CY2022Q1,Health Care,1,-9.661011,7.207321,1
ARR,CY2022Q1,Real Estate,1,-2.242177,1.066474,1
ASH,CY2022Q1,Materials,1,1.301325,1.207575,1
BILL,CY2022Q1,Information Technology,1,-0.519558,0.005492,0
BIO,CY2022Q1,Health Care,1,-4.81007,2.67392,1
BXMT,CY2022Q1,Real Estate,1,0.75992,0.084528,0
CCL,CY2022Q1,Consumer Discretionary,1,-1.165126,0.870616,1
CHRD,CY2022Q1,Utilities,1,0.713668,0.206224,0
CRC,CY2022Q1,Utilities,1,-0.603835,0.646245,1
CRGY,CY2022Q1,Utilities,1,-1.213895,1.985097,1
CVSA,CY2022Q1,Consumer Discretionary,1,1.897107,1.906072,1
CYTK,CY2022Q1,Health Care,1,-77.913763,77.363943,1
EFC,CY2022Q1,Financials,1,-1.620887,2.229771,1
ESNT,CY2022Q1,Financials,1,1.036113,0.331654,1
EXE,CY2022Q1,Utilities,1,-0.817112,0.580269,1
FBRT,CY2022Q1,Real Estate,1,-0.789944,0.605765,1
HASI,CY2022Q1,Energy,1,0.783787,0.328988,1
HOOD,CY2022Q1,Financials,1,-1.311037,0.145748,0
JXN,CY2022Q1,Financials,1,0.987843,0.648713,1
LIF,CY2022Q1,Information Technology,1,-0.49484,0.320956,1
LVS,CY2022Q1,Consumer Discretionary,1,2.682927,2.804951,1
MARA,CY2022Q1,Information Technology,1,-0.248458,0.350059,1
NCLH,CY2022Q1,Consumer Discretionary,1,-1.88281,1.343701,1
NLY,CY2022Q1,Real Estate,1,0.951897,0.11762,0
OKTA,CY2022Q1,Information Technology,1,-0.628961,0.00213,0
PLD,CY2022Q1,Real Estate,1,1.000487,0.004455,0
RBA,CY2022Q1,Industrials,1,0.90429,0.819085,1
RCL,CY2022Q1,Consumer Discretionary,1,-1.101877,0.279296,1
RCUS,CY2022Q1,Health Care,1,-3.777778,4.567362,1
RMBS,CY2022Q1,Information Technology,1,-0.668531,0.735048,1
RNR,CY2022Q1,Financials,1,-0.450029,0.601353,1
ROIV,CY2022Q1,Health Care,1,-29.281362,17.591785,1
ROP,CY2022Q1,Industrials,1,1.578762,1.349732,1
RRC,CY2022Q1,Energy,1,-0.40794,1.116912,1
SEZL,CY2022Q1,Information Technology,1,-1.012831,0.333247,1
SPNT,CY2022Q1,Financials,1,-0.600443,0.342151,1
TGTX,CY2022Q1,Health Care,1,-34.232639,5.981924,1
TPL,CY2022Q1,Energy,1,0.664472,0.127401,0
TWO,CY2022Q1,Real Estate,1,0.769435,1.855115,1
UBER,CY2022Q1,Consumer Discretionary,1,-0.865188,1.019567,1
VRSK,CY2022Q1,Industrials,1,0.785736,0.600488,1
A,CY2022Q1,Health Care,0,0.169056,0.097209,0
AA,CY2022Q1,Materials,0,0.142423,0.083802,0
AAL,CY2022Q1,Industrials,0,-0.183729,0.084864,0
AAMI,CY2022Q1,Financials,0,0.212121,0.028517,0
AAON,CY2022Q1,Industrials,0,0.098807,0.053416,0
AAPL,CY2022Q1,Information Technology,0,0.257098,0.0223,0
AAT,CY2022Q1,Real Estate,0,0.103706,0.023733,0
ABBV,CY2022Q1,Health Care,0,0.331659,0.059994,0
ABCB,CY2022Q1,Financials,0,0.322631,0.01991,0
ABG,CY2022Q1,Consumer Discretionary,0,0.060765,0.007842,0
ABM,CY2022Q1,Industrials,0,0.039252,0.019023,0
ABNB,CY2022Q1,Consumer Discretionary,0,-0.012591,0.048178,0
ABR,CY2022Q1,Real Estate,0,0.431192,0.102858,0
ABT,CY2022Q1,Health Care,0,0.205717,0.032278,0
ACA,CY2022Q1,Industrials,0,0.037701,0.020069,0
ACAD,CY2022Q1,Health Care,0,-0.979111,0.64954,1
ACGL,CY2022Q1,Financials,0,0.095778,0.169283,0
ACHC,CY2022Q1,Health Care,0,0.098657,0.01976,0
ACI,CY2022Q1,Consumer Discretionary,0,0.02618,0.000804,0
ACIW,CY2022Q1,Information Technology,0,0.047945,0.186554,0
ACLS,CY2022Q1,Materials,0,0.204396,0.030591,0
ACM,CY2022Q1,Industrials,0,0.012931,0.00591,0
ACMR,CY2022Q1,Materials,0,-0.137155,0.300752,1
ACN,CY2022Q1,Information Technology,0,0.108658,0.011022,0
ACT,CY2022Q1,Financials,0,0.610673,0.047951,0
ADBE,CY2022Q1,Information Technology,0,0.297044,0.002956,0
ADC,CY2022Q1,Real Estate,0,0.715534,0.010582,0
ADEA,CY2022Q1,Information Technology,0,0.180052,0.342351,1
ADI,CY2022Q1,Information Technology,0,0.104339,0.071988,0
ADMA,CY2022Q1,Health Care,0,-0.859285,0.22821,0
ADNT,CY2022Q1,Consumer Discretionary,0,-0.023103,0.007586,0
ADP,CY2022Q1,Information Technology,0,0.205739,0.033234,0
ADSK,CY2022Q1,Information Technology,0,0.073493,0.048177,0
ADT,CY2022Q1,Consumer Discretionary,0,0.016716,0.036925,0
ADUS,CY2022Q1,Health Care,0,0.037373,0.020755,0
AEE,CY2022Q1,Utilities,0,0.134114,0.053208,0
AEIS,CY2022Q1,Information Technology,0,0.092533,0.007371,0
AEO,CY2022Q1,Consumer Discretionary,0,1.0,0.0,0
AEP,CY2022Q1,Utilities,0,0.15562,0.022932,0
AES,CY2022Q1,Energy,0,0.091164,0.319323,1
AFG,CY2022Q1,Financials,0,0.18262,0.019314,0
AFL,CY2022Q1,Financials,0,0.202397,0.008908,0
AGCO,CY2022Q1,Industrials,0,0.056522,0.032886,0
AGO,CY2022Q1,Financials,0,0.22,0.78,1
AGX,CY2022Q1,Industrials,0,0.01764,0.081942,0
AGYS,CY2022Q1,Information Technology,0,0.032712,0.005266,0
AHCO,CY2022Q1,Health Care,0,0.059119,0.026443,0
AHR,CY2022Q1,Real Estate,0,-0.007859,0.0269,0
AIG,CY2022Q1,Financials,0,0.278774,0.015223,0
AIN,CY2022Q1,Industrials,0,0.113598,0.00576,0
AIR,CY2022Q1,Industrials,0,0.049757,0.002116,0
AIT,CY2022Q1,Industrials,0,0.069653,0.00462,0
AIZ,CY2022Q1,Financials,0,0.060015,0.013062,0
AJG,CY2022Q1,Financials,0,0.180142,0.124685,0
AKAM,CY2022Q1,Information Technology,0,0.147597,0.029718,0
AKR,CY2022Q1,Consumer Discretionary,0,0.206583,0.168616,0
ALB,CY2022Q1,Materials,0,0.224684,0.228961,0
ALG,CY2022Q1,Industrials,0,0.051021,0.006003,0
ALGM,CY2022Q1,Information Technology,0,0.127893,0.048586,0
ALGN,CY2022Q1,Health Care,0,0.137994,0.047208,0
ALGT,CY2022Q1,Industrials,0,-0.015759,0.037299,0
ALK,CY2022Q1,Industrials,0,-0.085068,0.094547,0
