ticker,quarter,sector,v12_flag,raw_margin,delta_Q_abs,extreme_event
ADAM,CY2022Q2,Real Estate,1,-5.210637,5.531013,1
ARR,CY2022Q2,Real Estate,1,-1.7395,0.502677,1
ARWR,CY2022Q2,Health Care,1,-2.222819,2.515075,1
BLFS,CY2022Q2,Health Care,1,-1.980904,1.753102,1
BRK.B,CY2022Q2,Financials,1,-0.572447,0.651212,1
CCL,CY2022Q2,Consumer Discretionary,1,-0.763848,0.401278,1
CINF,CY2022Q2,Financials,1,-0.997561,0.77917,1
CLSK,CY2022Q2,Information Technology,1,-0.945567,0.940432,1
COIN,CY2022Q2,Financials,1,-1.352988,0.984636,1
CPT,CY2022Q2,Real Estate,1,1.370369,1.113062,1
CR,CY2022Q2,Industrials,1,0.486894,0.366412,1
CRGY,CY2022Q2,Utilities,1,0.560605,1.774501,1
CWEN,CY2022Q2,Utilities,1,1.548913,1.698446,1
GTY,CY2022Q2,Consumer Discretionary,1,0.74504,0.268221,1
HASI,CY2022Q2,Energy,1,-0.337036,1.120823,1
HCC,CY2022Q2,Materials,1,0.475069,0.088833,0
HOOD,CY2022Q2,Financials,1,-0.927673,0.383364,1
IAC,CY2022Q2,Communication Services,1,-0.637856,0.459941,1
KKR,CY2022Q2,Financials,1,-0.979867,0.972714,1
KN,CY2022Q2,Information Technology,1,-1.292021,1.381892,1
LIF,CY2022Q2,Information Technology,1,-0.675313,0.180473,0
MARA,CY2022Q2,Information Technology,1,-8.531316,8.282858,1
MP,CY2022Q2,Materials,1,0.510365,0.004203,0
MTG,CY2022Q2,Financials,1,0.850407,0.25637,1
NCLH,CY2022Q2,Consumer Discretionary,1,-0.429017,1.453793,1
NE,CY2022Q2,Utilities,1,0.134678,0.309039,1
OKTA,CY2022Q2,Information Technology,1,-0.585542,0.043419,0
OPLN,CY2022Q2,Industrials,1,0.547111,0.547923,1
OSW,CY2022Q2,Consumer Discretionary,1,0.43879,0.510839,1
PEGA,CY2022Q2,Information Technology,1,-1.043592,1.042585,1
PMT,CY2022Q2,Real Estate,1,-3.776233,3.414742,1
PTGX,CY2022Q2,Health Care,1,-47.772992,46.959292,1
