ticker,quarter,sector,v12_flag,raw_margin,delta_Q_abs,extreme_event
ADAM,CY2024Q3,Real Estate,1,2.543557,6.926851,1
ALB,CY2024Q3,Materials,1,-1.608979,1.316691,1
ARI,CY2024Q3,Real Estate,1,-1.321965,1.725341,1
ARR,CY2024Q3,Real Estate,1,34.195215,41.562986,1
CCOI,CY2024Q3,Communication Services,1,-0.245379,0.121214,0
CHD,CY2024Q3,Consumer Staples,1,-0.049715,0.210846,1
CLSK,CY2024Q3,Information Technology,1,-0.6965,1.572702,1
CRBG,CY2024Q3,Financials,1,-0.45556,0.553943,1
CURB,CY2024Q3,Consumer Discretionary,1,-0.517774,0.739255,1
CYTK,CY2024Q3,Health Care,1,-346.74946,228.824837,1
DOCU,CY2024Q3,Information Technology,1,1.206764,1.159191,1
EW,CY2024Q3,Health Care,1,2.267277,1.999788,1
FLG,CY2024Q3,Financials,1,-0.75853,0.426523,1
FR,CY2024Q3,Real Estate,1,1.184944,0.559883,1
GNL,CY2024Q3,Real Estate,1,-0.552197,0.231843,1
HRB,CY2024Q3,Consumer Discretionary,1,-0.890439,1.133061,1
HTZ,CY2024Q3,Consumer Discretionary,1,-0.517081,0.149465,0
INTC,CY2024Q3,Information Technology,1,-1.252559,1.127102,1
IPGP,CY2024Q3,Information Technology,1,-1.001934,1.080158,1
KEY,CY2024Q3,Financials,1,-0.697279,0.891055,1
MAC,CY2024Q3,Real Estate,1,-0.491268,1.66056,1
MP,CY2024Q3,Materials,1,-0.405486,0.683995,1
MPT,CY2024Q3,Health Care,1,-3.547685,2.344822,1
MTN,CY2024Q3,Consumer Discretionary,1,-0.6582,0.940285,1
NFG,CY2024Q3,Utilities,1,-0.450512,5.32787,1
NGVT,CY2024Q3,Materials,1,-0.32115,0.405168,1
PBI,CY2024Q3,Consumer Discretionary,1,-0.277242,0.226466,1
PTEN,CY2024Q3,Energy,1,-0.72115,0.729366,1
PTGX,CY2024Q3,Health Care,1,-7.103743,0.243509,1
ROIV,CY2024Q3,Health Care,1,-51.437765,63.364799,1
RUN,CY2024Q3,Industrials,1,-0.155939,0.421415,1
SCHL,CY2024Q3,Publishing,1,-0.263491,0.339086,1
SEDG,CY2024Q3,Materials,1,-4.617594,4.12683,1
SMG,CY2024Q3,Materials,1,-0.588377,0.698259,1
SMTC,CY2024Q3,Information Technology,1,-0.790764,0.678399,1
SPHR,CY2024Q3,Communication Services,1,-0.461944,0.291546,1
STZ,CY2024Q3,Consumer Staples,1,-0.410771,0.740247,1
TCBI,CY2024Q3,Financials,1,-0.569075,0.720286,1
VIR,CY2024Q3,Health Care,1,-89.797059,44.796083,1
VYX,CY2024Q3,Information Technology,1,1.522599,1.629247,1
WBS,CY2024Q3,Financials,1,0.348582,0.651418,1
WTW,CY2024Q3,Financials,1,-0.731761,0.794012,1
A,CY2024Q3,Health Care,0,0.178707,0.017097,0
AA,CY2024Q3,Materials,0,0.180381,0.173499,0
AAL,CY2024Q3,Industrials,0,-0.010918,0.060939,0
AAMI,CY2024Q3,Financials,0,0.137287,0.036369,0
AAON,CY2024Q3,Industrials,0,0.160809,0.005753,0
AAP,CY2024Q3,Consumer Discretionary,0,0.020661,0.006231,0
AAPL,CY2024Q3,Information Technology,0,0.15523,0.094814,0
AAT,CY2024Q3,Real Estate,0,0.135632,0.028283,0
ABBV,CY2024Q3,Health Care,0,0.107953,0.013222,0
ABCB,CY2024Q3,Financials,0,0.357312,0.035218,0
ABG,CY2024Q3,Consumer Discretionary,0,0.029811,0.023193,0
ABM,CY2024Q3,Industrials,0,0.002244,0.019409,0
ABNB,CY2024Q3,Consumer Discretionary,0,0.366559,0.164594,0
ABR,CY2024Q3,Real Estate,0,0.414263,0.037535,0
ABT,CY2024Q3,Health Care,0,0.154772,0.029302,0
ACA,CY2024Q3,Industrials,0,0.025921,0.042681,0
ACAD,CY2024Q3,Health Care,0,0.13085,0.007142,0
ACGL,CY2024Q3,Financials,0,0.207116,0.090591,0
ACHC,CY2024Q3,Health Care,0,0.083533,0.015058,0
ACI,CY2024Q3,Consumer Discretionary,0,0.007843,0.002076,0
ACIW,CY2024Q3,Information Technology,0,0.180247,0.097546,0
ACLS,CY2024Q3,Materials,0,0.189333,0.008966,0
ACM,CY2024Q3,Industrials,0,0.041977,0.009632,0
ACMR,CY2024Q3,Materials,0,0.151508,0.031941,0
ACN,CY2024Q3,Information Technology,0,0.102665,0.014673,0
ACT,CY2024Q3,Financials,0,0.583579,0.031053,0
ADBE,CY2024Q3,Information Technology,0,0.311391,0.015101,0
ADC,CY2024Q3,Real Estate,0,0.563014,0.142141,0
ADEA,CY2024Q3,Information Technology,0,0.224318,0.128359,0
ADI,CY2024Q3,Information Technology,0,0.169635,0.029646,0
ADMA,CY2024Q3,Health Care,0,0.299644,0.000533,0
ADNT,CY2024Q3,Consumer Discretionary,0,0.022179,0.025139,0
ADP,CY2024Q3,Information Technology,0,0.197881,0.023969,0
ADSK,CY2024Q3,Information Technology,0,0.187375,0.009535,0
ADT,CY2024Q3,Consumer Discretionary,0,0.05307,0.000692,0
ADUS,CY2024Q3,Health Care,0,0.069579,0.006569,0
AEE,CY2024Q3,Utilities,0,0.209848,0.057456,0
AEIS,CY2024Q3,Information Technology,0,-0.039818,0.080377,0
AEO,CY2024Q3,Consumer Discretionary,0,1.0,0.0,0
AEP,CY2024Q3,Utilities,0,0.177045,0.10273,0
AES,CY2024Q3,Energy,0,-0.002128,0.097981,0
AESI,CY2024Q3,Utilities,0,0.01287,0.038734,0
AFG,CY2024Q3,Financials,0,0.076404,0.033596,0
AFL,CY2024Q3,Financials,0,-0.031536,0.373109,1
AGCO,CY2024Q3,Industrials,0,0.011542,0.124614,0
AGO,CY2024Q3,Financials,0,0.635688,0.249549,1
AGX,CY2024Q3,Industrials,0,0.080162,0.030175,0
AGYS,CY2024Q3,Information Technology,0,0.019977,0.202123,1
AHCO,CY2024Q3,Health Care,0,0.028366,0.004252,0
AHR,CY2024Q3,Real Estate,0,-0.007877,0.011799,0
AIG,CY2024Q3,Financials,0,0.06799,0.67424,1
AIN,CY2024Q3,Industrials,0,0.060422,0.013748,0
