ticker,quarter,sector,v12_flag,raw_margin,delta_Q_abs,extreme_event
AAMI,CY2021Q3,Financials,1,1.946565,2.049684,1
ADC,CY2021Q3,Real Estate,1,0.834356,0.292912,1
ALB,CY2021Q3,Materials,1,-0.472908,1.02156,1
AR,CY2021Q3,Energy,1,-1.028911,0.045794,0
ARR,CY2021Q3,Real Estate,1,1.517409,5.846223,1
ATEN,CY2021Q3,Information Technology,1,1.145747,1.033929,1
BILL,CY2021Q3,Information Technology,1,-0.627458,0.092637,0
BIO,CY2021Q3,Health Care,1,5.258066,3.981247,1
CALX,CY2021Q3,Information Technology,1,1.030151,0.908861,1
CNR,CY2021Q3,Energy,1,-0.763623,0.778152,1
CRGY,CY2021Q3,Utilities,1,-0.886139,0.766917,1
CRK,CY2021Q3,Energy,1,-0.572634,0.037104,0
CYTK,CY2021Q3,Health Care,1,-13.994114,7.656958,1
EXE,CY2021Q3,Utilities,1,-0.38764,0.245837,1
HOOD,CY2021Q3,Financials,1,-3.608219,2.719724,1
HP,CY2021Q3,Utilities,1,-0.460497,0.126043,0
INSW,CY2021Q3,Utilities,1,-0.794095,0.38845,1
KEX,CY2021Q3,Industrials,1,-0.442012,0.460221,1
KIM,CY2021Q3,Real Estate,1,1.360216,0.978427,1
LAUR,CY2021Q3,Consumer Discretionary,1,2.73051,2.554489,1
LQDT,CY2021Q3,Industrials,1,0.465767,0.344919,1
MARA,CY2021Q3,Information Technology,1,-0.428808,3.284621,1
MO,CY2021Q3,Consumer Staples,1,-0.492135,0.874928,1
MSGS,CY2021Q3,Communication Services,1,-0.872885,1.210661,1
NCLH,CY2021Q3,Consumer Discretionary,1,-5.525735,158.803249,1
OSW,CY2021Q3,Consumer Discretionary,1,-0.282846,0.316161,1
PEG,CY2021Q3,Utilities,1,-0.82186,0.72741,1
PMT,CY2021Q3,Real Estate,1,-0.917875,1.17993,1
PTGX,CY2021Q3,Health Care,1,-3.286409,10.330368,1
RCL,CY2021Q3,Consumer Discretionary,1,-3.117473,23.343913,1
RNR,CY2021Q3,Financials,1,-0.291462,0.60069,1
ROIV,CY2021Q3,Health Care,1,-14.905341,4.280518,1
