ticker,quarter,sector,v12_flag,raw_margin,delta_Q_abs,extreme_event
ADAM,CY2022Q4,Real Estate,1,-0.928216,82.292662,1
AMG,CY2022Q4,Financials,1,1.441356,1.246749,1
APLS,CY2022Q4,Health Care,1,-14.648634,5.976663,1
ARR,CY2022Q4,Real Estate,1,2.205439,7.174574,1
AVNT,CY2022Q4,Materials,1,0.688892,0.701402,1
BXMT,CY2022Q4,Real Estate,1,-20.93395,21.651265,1
CLSK,CY2022Q4,Information Technology,1,-1.043567,0.572678,1
CNX,CY2022Q4,Energy,1,0.717594,4.36588,1
COIN,CY2022Q4,Financials,1,-0.885382,0.037198,0
CRK,CY2022Q4,Energy,1,1.120365,0.825253,1
CYTK,CY2022Q4,Health Care,1,-70.199285,13.614792,1
DD,CY2022Q4,Materials,1,1.361469,1.250827,1
EMR,CY2022Q4,Industrials,1,0.691076,0.500943,1
EXE,CY2022Q4,Utilities,1,0.85143,0.572176,1
FIS,CY2022Q4,Information Technology,1,-6.874505,6.978439,1
FR,CY2022Q4,Real Estate,1,1.13339,0.63868,1
GTLS,CY2022Q4,Industrials,1,-0.31604,0.516477,1
GTY,CY2022Q4,Consumer Discretionary,1,0.633351,0.31638,1
HOOD,CY2022Q4,Financials,1,-0.436842,0.047922,0
HRB,CY2022Q4,Consumer Discretionary,1,-1.343583,0.407833,1
INVX,CY2022Q4,Utilities,1,0.666195,0.515425,1
KN,CY2022Q4,Information Technology,1,-1.055302,1.070453,1
LUMN,CY2022Q4,Communication Services,1,-0.807632,0.939294,1
LYFT,CY2022Q4,Consumer Discretionary,1,-0.500541,0.099903,0
MARA,CY2022Q4,Information Technology,1,-13.780413,8.070248,1
MIR,CY2022Q4,Information Technology,1,-0.704452,0.411723,1
MP,CY2022Q4,Materials,1,0.718612,0.210942,0
MU,CY2022Q4,Information Technology,1,-0.047736,0.272333,1
PB,CY2022Q4,Financials,1,0.913942,0.454107,1
PRLB,CY2022Q4,Industrials,1,-0.995312,1.027771,1
RIG,CY2022Q4,Real Estate,1,-0.577558,0.537037,1
ROIV,CY2022Q4,Health Care,1,-20.643561,2.622217,1
ROP,CY2022Q4,Industrials,1,1.347683,1.105515,1
RRC,CY2022Q4,Energy,1,0.691345,0.453445,1
SHC,CY2022Q4,Health Care,1,-1.270794,1.371677,1
T,CY2022Q4,Communication Services,1,-0.752034,0.950982,1
TGTX,CY2022Q4,Health Care,1,-662.425,281.382447,1
VECO,CY2022Q4,Materials,1,0.838211,0.750719,1
VIR,CY2022Q4,Health Care,1,-2.056325,2.524376,1
VNO,CY2022Q4,Real Estate,1,-1.103683,1.120667,1
WT,CY2022Q4,Financials,1,-0.385882,1.507612,1
WWW,CY2022Q4,Consumer Discretionary,1,-0.543759,0.600167,1
A,CY2022Q4,Health Care,0,0.199027,0.007525,0
AA,CY2022Q4,Materials,0,0.131791,0.076662,0
AAL,CY2022Q4,Industrials,0,0.060889,0.02501,0
AAMI,CY2022Q4,Financials,0,0.247759,0.04269,0
AAON,CY2022Q4,Industrials,0,0.152782,0.03954,0
AAP,CY2022Q4,Consumer Discretionary,0,0.043131,0.011045,0
AAPL,CY2022Q4,Information Technology,0,0.256056,0.026196,0
AAT,CY2022Q4,Real Estate,0,0.09084,0.0242,0
ABBV,CY2022Q4,Health Care,0,0.163547,0.103061,0
ABCB,CY2022Q4,Financials,0,0.351307,0.003782,0
ABG,CY2022Q4,Consumer Discretionary,0,0.095307,0.04228,0
ABM,CY2022Q4,Industrials,0,0.024315,0.004644,0
ABNB,CY2022Q4,Consumer Discretionary,0,0.167718,0.253225,1
ABR,CY2022Q4,Real Estate,0,0.497559,0.037882,0
ABT,CY2022Q4,Health Care,0,0.102368,0.03548,0
ACA,CY2022Q4,Industrials,0,0.309015,0.256026,1
ACAD,CY2022Q4,Health Care,0,-0.3057,0.097742,0
ACGL,CY2022Q4,Financials,0,0.276457,0.273523,1
ACHC,CY2022Q4,Health Care,0,0.090515,0.016124,0
ACI,CY2022Q4,Consumer Discretionary,0,0.020683,0.001559,0
ACIW,CY2022Q4,Information Technology,0,0.199706,0.124305,0
ACLS,CY2022Q4,Materials,0,0.214215,0.038441,0
ACM,CY2022Q4,Industrials,0,0.026001,0.004826,0
ACMR,CY2022Q4,Materials,0,0.108797,0.048291,0
ACN,CY2022Q4,Information Technology,0,0.124776,0.016817,0
ACT,CY2022Q4,Financials,0,0.519452,0.174854,0
ADBE,CY2022Q4,Information Technology,0,0.25989,0.00363,0
ADC,CY2022Q4,Real Estate,0,0.686453,0.013052,0
ADEA,CY2022Q4,Information Technology,0,0.713815,5.06927,1
ADI,CY2022Q4,Information Technology,0,0.288272,0.047432,0
ADMA,CY2022Q4,Health Care,0,-0.244724,0.117881,0
ADNT,CY2022Q4,Consumer Discretionary,0,0.003244,0.009085,0
ADP,CY2022Q4,Information Technology,0,0.185174,0.000384,0
ADSK,CY2022Q4,Information Technology,0,0.154688,0.004324,0
ADT,CY2022Q4,Consumer Discretionary,0,0.132712,0.197653,0
ADUS,CY2022Q4,Health Care,0,0.059753,0.011756,0
AEE,CY2022Q4,Utilities,0,0.079668,0.116343,0
AEIS,CY2022Q4,Information Technology,0,0.089141,0.054517,0
AEO,CY2022Q4,Consumer Discretionary,0,1.0,0.0,0
AEP,CY2022Q4,Utilities,0,0.078732,0.04499,0
AES,CY2022Q4,Energy,0,-0.097549,0.234577,0
AFG,CY2022Q4,Financials,0,0.143079,0.059914,0
AFL,CY2022Q4,Financials,0,0.049645,0.328969,1
AGCO,CY2022Q4,Industrials,0,0.082639,0.006428,0
AGO,CY2022Q4,Financials,0,0.321918,0.053625,0
AGX,CY2022Q4,Industrials,0,0.065815,0.020768,0
AGYS,CY2022Q4,Information Technology,0,0.06877,0.003482,0
AHCO,CY2022Q4,Health Care,0,-0.003317,0.024628,0
AHR,CY2022Q4,Real Estate,0,-0.105022,0.073332,0
AIN,CY2022Q4,Industrials,0,0.067451,0.02641,0
AIR,CY2022Q4,Industrials,0,0.047893,0.00297,0
AIT,CY2022Q4,Industrials,0,0.075883,0.003519,0
AIZ,CY2022Q4,Financials,0,0.025671,0.022806,0
AJG,CY2022Q4,Financials,0,0.066805,0.058342,0
AKAM,CY2022Q4,Information Technology,0,0.190582,0.050323,0
AKR,CY2022Q4,Consumer Discretionary,0,0.049418,0.748527,1
AL,CY2022Q4,Industrials,0,0.240315,0.055689,0
ALB,CY2022Q4,Materials,0,0.43207,0.003151,0
ALG,CY2022Q4,Industrials,0,0.075439,0.005424,0
ALGM,CY2022Q4,Information Technology,0,0.259332,0.046369,0
ALGN,CY2022Q4,Health Care,0,0.046339,0.035315,0
ALGT,CY2022Q4,Industrials,0,0.085807,0.168721,0
ALK,CY2022Q4,Industrials,0,0.008875,0.00527,0
ALKS,CY2022Q4,Health Care,0,-0.092735,0.160771,0
ALL,CY2022Q4,Financials,0,-0.022201,0.029661,0
ALLY,CY2022Q4,Financials,0,0.146698,0.025672,0
ALRM,CY2022Q4,Information Technology,0,0.086889,0.002073,0
ALV,CY2022Q4,Consumer Discretionary,0,0.066809,0.021197,0
AM,CY2022Q4,Energy,0,0.342753,0.020891,0
AMAT,CY2022Q4,Information Technology,0,0.235739,0.01058,0
AMCR,CY2022Q4,Materials,0,0.12603,0.06353,0
AMD,CY2022Q4,Information Technology,0,0.003215,0.007926,0
AMGN,CY2022Q4,Health Care,0,0.236292,0.085867,0
AMH,CY2022Q4,Real Estate,0,0.229801,0.100302,0
AMKR,CY2022Q4,Information Technology,0,0.086192,0.060701,0
AMN,CY2022Q4,Health Care,0,0.072675,0.008517,0
AMP,CY2022Q4,Financials,0,0.177177,0.127358,0
AMPH,CY2022Q4,Health Care,0,0.251165,0.119023,0
AMR,CY2022Q4,Materials,0,0.267995,0.022677,0
AMRX,CY2022Q4,Health Care,0,-0.007106,0.002177,0
AMSF,CY2022Q4,Financials,0,0.260503,0.101341,0
AMT,CY2022Q4,Real Estate,0,-0.252791,0.567109,1
AMWD,CY2022Q4,Industrials,0,0.051263,0.014294,0
AMZN,CY2022Q4,Consumer Discretionary,0,0.001863,0.020733,0
AN,CY2022Q4,Consumer Discretionary,0,0.042765,0.01013,0
ANDE,CY2022Q4,Consumer Staples,0,0.001929,0.00678,0
ANET,CY2022Q4,Communication Services,0,0.334827,0.034012,0
ANF,CY2022Q4,Consumer Discretionary,0,-0.002516,0.018394,0
ANIP,CY2022Q4,Health Care,0,-0.045027,0.057572,0
AON,CY2022Q4,Financials,0,0.209904,0.058569,0
AORT,CY2022Q4,Health Care,0,0.027318,0.205784,0
AOS,CY2022Q4,Industrials,0,-0.128298,0.253899,1
AOSL,CY2022Q4,Information Technology,0,0.030865,0.082031,0
APAM,CY2022Q4,Financials,0,0.233677,0.04489,0
APD,CY2022Q4,Utilities,0,0.180238,0.016904,0
APG,CY2022Q4,Industrials,0,0.006459,0.003339,0
APH,CY2022Q4,Information Technology,0,0.156674,0.00597,0
APLE,CY2022Q4,Consumer Discretionary,0,0.007729,0.165643,0
APO,CY2022Q4,Financials,0,0.132204,0.321194,1
APOG,CY2022Q4,Industrials,0,0.064606,0.035873,0
APP,CY2022Q4,Information Technology,0,-0.113215,0.14655,0
APPF,CY2022Q4,Information Technology,0,-0.158797,0.125522,0
APTV,CY2022Q4,Consumer Discretionary,0,0.053664,0.011572,0
AR,CY2022Q4,Energy,0,0.417538,0.080633,0
ARCB,CY2022Q4,Industrials,0,0.03209,0.03755,0
ARE,CY2022Q4,Real Estate,0,0.077271,0.440177,1
ARES,CY2022Q4,Financials,0,0.125296,0.169657,0
ARI,CY2022Q4,Real Estate,0,-0.080961,2.439541,1
ARLO,CY2022Q4,Communication Services,0,-0.186919,0.074284,0
ARMK,CY2022Q4,Industrials,0,0.018946,0.001683,0
AROC,CY2022Q4,Utilities,0,0.047782,0.024157,0
ARW,CY2022Q4,Information Technology,0,0.037477,0.000527,0
ARWR,CY2022Q4,Health Care,0,-0.660714,2.047473,1
ASB,CY2022Q4,Financials,0,0.320232,0.026733,0
ASGN,CY2022Q4,Information Technology,0,0.048331,0.012776,0
ASH,CY2022Q4,Materials,0,0.07619,0.013999,0
ASO,CY2022Q4,Consumer Discretionary,0,0.088184,0.023736,0
ASTE,CY2022Q4,Industrials,0,-0.002858,0.005079,0
ASTH,CY2022Q4,Health Care,0,-0.012671,0.08581,0
ATEN,CY2022Q4,Information Technology,0,0.232244,0.064145,0
ATI,CY2022Q4,Industrials,0,0.076108,0.016903,0
ATO,CY2022Q4,Utilities,0,0.183193,0.084051,0
ATR,CY2022Q4,Materials,0,0.074124,0.009305,0
AUB,CY2022Q4,Financials,0,0.363032,0.038588,0
AVA,CY2022Q4,Utilities,0,0.152527,0.168658,0
AVAV,CY2022Q4,Industrials,0,-0.059758,0.017604,0
AVB,CY2022Q4,Real Estate,0,0.360316,0.383343,1
AVGO,CY2022Q4,Information Technology,0,0.370773,0.016448,0
AVNS,CY2022Q4,Health Care,0,0.0,0.09112,0
AVT,CY2022Q4,Information Technology,0,0.036306,0.009009,0
AVTR,CY2022Q4,Health Care,0,0.078942,0.011013,0
AVY,CY2022Q4,Materials,0,0.060664,0.034929,0
AWI,CY2022Q4,Industrials,0,0.160263,0.01666,0
AWK,CY2022Q4,Utilities,0,0.157895,0.116597,0
AWR,CY2022Q4,Utilities,0,0.148596,0.041456,0
AX,CY2022Q4,Financials,0,0.36207,0.068469,0
AXON,CY2022Q4,Industrials,0,0.086894,0.047982,0
AXP,CY2022Q4,Financials,0,0.119553,0.027497,0
AXTA,CY2022Q4,Materials,0,0.03559,0.014785,0
AYI,CY2022Q4,Industrials,0,0.075058,0.02886,0
AZO,CY2022Q4,Consumer Discretionary,0,0.135335,0.016122,0
AZTA,CY2022Q4,Health Care,0,-0.062988,0.087956,0
AZZ,CY2022Q4,Materials,0,-0.064672,0.079436,0
BA,CY2022Q4,Industrials,0,-0.031732,0.17352,0
BAC,CY2022Q4,Financials,0,0.294539,0.015815,0
BAH,CY2022Q4,Industrials,0,0.013613,0.060739,0
BANC,CY2022Q4,Financials,0,0.273118,0.04446,0
BANF,CY2022Q4,Financials,0,0.369165,0.00632,0
BANR,CY2022Q4,Financials,0,0.328705,0.014035,0
BAX,CY2022Q4,Health Care,0,0.048331,0.86213,1
BBBY,CY2022Q4,Consumer Discretionary,0,-0.038309,0.042067,0
BBT,CY2022Q4,Financials,0,0.259088,0.086318,0
BBWI,CY2022Q4,Consumer Discretionary,0,0.056733,0.017432,0
BBY,CY2022Q4,Consumer Discretionary,0,0.026164,0.003461,0
BC,CY2022Q4,Consumer Discretionary,0,0.089531,0.006925,0
BCC,CY2022Q4,Industrials,0,0.072075,0.029838,0
BCO,CY2022Q4,Industrials,0,0.037787,0.020896,0
BCPC,CY2022Q4,Materials,0,0.092057,0.01131,0
BDC,CY2022Q4,Information Technology,0,0.094167,0.052513,0
BDX,CY2022Q4,Health Care,0,0.105975,0.050314,0
BEN,CY2022Q4,Financials,0,0.085812,0.020274,0
BFH,CY2022Q4,Consumer Discretionary,0,-0.129719,0.266594,1
BFS,CY2022Q4,Consumer Discretionary,0,0.145406,0.004414,0
BGC,CY2022Q4,Financials,0,0.005077,0.008756,0
BHE,CY2022Q4,Information Technology,0,0.028268,0.003864,0
BIIB,CY2022Q4,Health Care,0,0.215998,0.236423,0
BILL,CY2022Q4,Information Technology,0,-0.365668,0.010595,0
BIO,CY2022Q4,Health Care,0,1.133559,1.372701,1
BJ,CY2022Q4,Consumer Discretionary,0,0.027154,0.000473,0
BJRI,CY2022Q4,Consumer Discretionary,0,0.011509,0.016783,0
BK,CY2022Q4,Financials,0,0.129913,0.055363,0
BKE,CY2022Q4,Consumer Discretionary,0,0.184708,0.018655,0
BKH,CY2022Q4,Utilities,0,0.091589,0.01599,0
BKNG,CY2022Q4,Consumer Discretionary,0,0.305014,0.029733,0
BKR,CY2022Q4,Energy,0,0.030821,0.033988,0
BKU,CY2022Q4,Financials,0,0.275755,0.068501,0
