ticker,quarter,sector,v12_flag,raw_margin,delta_Q_abs,extreme_event
AGO,CY2021Q4,Financials,1,1.0,0.919811,1
AOSL,CY2021Q4,Information Technology,1,1.981171,1.855932,1
APLS,CY2021Q4,Health Care,1,-2.45369,32.160646,1
ARR,CY2021Q4,Real Estate,1,-1.175702,2.693111,1
ARWR,CY2021Q4,Health Care,1,-2.291337,0.635929,1
CCL,CY2021Q4,Consumer Discretionary,1,-2.035742,3.158397,1
CRGY,CY2021Q4,Utilities,1,0.771201,1.657341,1
D,CY2021Q4,Utilities,1,0.692268,0.465883,1
EBAY,CY2021Q4,Consumer Discretionary,1,0.75354,0.647982,1
EXE,CY2021Q4,Utilities,1,-1.397381,1.009741,1
FBRT,CY2021Q4,Real Estate,1,-1.395709,2.197634,1
GOGO,CY2021Q4,Communication Services,1,2.369545,2.243828,1
HASI,CY2021Q4,Energy,1,1.112775,1.172652,1
HOOD,CY2021Q4,Financials,1,-1.165289,2.44293,1
HRB,CY2021Q4,Consumer Discretionary,1,-1.200162,0.413132,1
INVX,CY2021Q4,Utilities,1,-0.825744,0.691487,1
KN,CY2021Q4,Information Technology,1,0.79044,0.671555,1
KRG,CY2021Q4,Real Estate,1,-0.602522,0.505132,1
LTH,CY2021Q4,Consumer Discretionary,1,-0.845343,0.727325,1
LXP,CY2021Q4,Real Estate,1,3.010777,2.950501,1
MTSI,CY2021Q4,Information Technology,1,0.88799,0.784338,1
NCLH,CY2021Q4,Consumer Discretionary,1,-3.226511,2.299223,1
NOG,CY2021Q4,Energy,1,0.536115,0.468066,1
NPO,CY2021Q4,Industrials,1,0.481899,0.348852,1
NTNX,CY2021Q4,Information Technology,1,-1.109202,0.189078,0
OKTA,CY2021Q4,Information Technology,1,-0.631091,0.245873,0
PB,CY2021Q4,Financials,1,0.882792,0.42875,1
PLD,CY2021Q4,Real Estate,1,1.004943,0.330642,1
PTEN,CY2021Q4,Energy,1,-0.770196,0.538283,1
PTGX,CY2021Q4,Health Care,1,-4.283045,0.996636,1
RCL,CY2021Q4,Consumer Discretionary,1,-1.381173,1.7363,1
ROIV,CY2021Q4,Health Care,1,-11.689577,3.215763,1
RRC,CY2021Q4,Energy,1,0.708973,1.075799,1
SHEN,CY2021Q4,Communication Services,1,0.013258,14.330631,1
SM,CY2021Q4,Utilities,1,0.496982,0.384395,1
TGTX,CY2021Q4,Health Care,1,-40.214563,1.971152,1
TWO,CY2021Q4,Real Estate,1,-1.085679,1.7172,1
UHT,CY2021Q4,Health Care,1,4.279075,4.027059,1
VAL,CY2021Q4,Energy,1,0.109002,0.275821,1
VRSN,CY2021Q4,Information Technology,1,0.970026,0.501585,1
WTW,CY2021Q4,Financials,1,0.887657,0.429978,1
ZD,CY2021Q4,Communication Services,1,4.831667,4.586524,1
A,CY2021Q4,Health Care,0,0.266265,0.099809,0
AA,CY2021Q4,Materials,0,0.226226,0.205961,0
AAL,CY2021Q4,Industrials,0,-0.098865,0.117708,0
AAMI,CY2021Q4,Financials,0,0.240638,1.705926,1
